CODIGO_OBRA,emp_n_empresas,emp_n_vinculos,emp_n_contrapartes_unicas,emp_n_ganadores,emp_n_participantes,emp_riesgo_max,emp_riesgo_mean,emp_riesgo_std,emp_pct_alto_riesgo,emp_score_proxy_mean,emp_score_proxy_max,emp_ratio_ganador_mean,emp_ratio_participante_mean,emp_intensidad_red_mean,emp_efectividad_ganador_mean,emp_ratio_ganadores_vinculos,emp_ratio_participantes_vinculos
79749,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.11458333333333333,10.0,0.0,0.0,0.0
81363,3,4,0,0,0,3,2.0,1.1547005383792515,0.5,2.0,3,0.0,0.13846153846153847,8.0,0.0,0.0,0.0
826,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
82706,3,6,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13055555555555556,7.0,0.0,0.0,0.0
83650,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
84300,2,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
84896,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.1,9.0,0.0,0.0,0.0
85055,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.12179487179487179,8.5,0.0,0.0,0.0
86587,2,2,0,0,0,3,2.0,1.4142135623730951,0.5,2.0,3,0.0,0.13125,9.5,0.0,0.0,0.0
86858,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.12179487179487179,8.5,0.0,0.0,0.0
86930,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.08333333333333333,11.0,0.0,0.0,0.0
87051,1,2,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.16666666666666666,5.0,0.0,0.0,0.0
88861,4,8,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.13958333333333334,6.5,0.0,0.0,0.0
88878,2,4,0,0,0,3,3.0,0.0,1.0,3.0,3,0.0,0.12179487179487179,8.5,0.0,0.0,0.0
