CODIGO_RUC,NOMBRE_EMPRESA_ROL,RUC_CONTRAPARTE,NOMBRE_CONTRAPARTE,rol_empresa,nombre_empresa_1a,n_obras_asociadas_1a,n_registros_1a,es_consorcio,flag_sancionadas_tce,flag_inhabilitadas_pj,flag_sancionadas_rnp,flag_inhabilitadas_rnp,flag_impedidas_rnp,nombre_empresa_2a,capacidad_maxima_contratacion,capacidad_libre_contratacion,estado_empresa,condicion_empresa,numero_sanciones_tce,numero_sanciones_rnp,flag_fecha_constitucion_alerta,flag_ley_selva_alerta,flag_accionistas_alerta,n_obras_representante,n_representantes_legales,representante_legal_principal,NOMBRE_EMPRESA,risk_score_proxy,y_riesgo_empresa_4niveles,n_vinculos_total,n_contrapartes_unicas,n_veces_ganador,n_veces_participante,ratio_ganador,ratio_participante,n_registros_hora_oferta,n_horas_oferta_distintas,hora_oferta_moda,target_disponible
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,10086051546,CONSORCIO SUPERVISOR AREQUIPA-LAJOYA,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20100153671,LAGESA INGENIEROS CONSULTORES S.A.(*),ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20112860381,CONSORCIO SUPERVISOR AREQUIPA,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20137114705,SERVICIO DE CONSULTORES ANDINOS SOCIEDAD ANONIMA,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20262241441,ACRUTA & TAPIA INGENIEROS S.A.C.,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20480470339,CONSORCIO SUPERVISOR AREQUIPA-LAJOYA,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20523105800,CONSORCIO LA JOYA,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20537162610,CATALUÑA INGENIEROS SOCIEDAD ANONIMA CERRADA(*),ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,20538025918,CONSORCIO CPS -ATJ,ganador,JNR CONSULTORES SOCIEDAD ANONIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,JNR CONSULTORES SOCIEDAD ANONIMA,,0.0,ACTIVO,HABIDO,0.0,0.0,0.0,0.0,1.0,1.0,3.0,NORIEGA ROMERO ROXANA GUADALUPE,JNR CONSULTORES SOCIEDAD ANONIMA,4.0,2.0,15.0,13.0,13.0,2.0,0.8666666666666667,0.13333333333333333,1.0,1.0,10:00,1
