CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS
2427358,SALUD,APURIMAC,GOBIERNO NACIONAL,2427358-2427358-901959-2200762-169628,3,Consultoría de Obra,169628,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL TAMBOBAMBA; DISTRITO DE TAMBOBAMBA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC,Concurso Público,0,0
2428087,SANEAMIENTO,TACNA,GOBIERNO NACIONAL,2428087-2428087-643231-2018416-129252,3,Consultoría de Obra,129252,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA,Concurso Público,0,0
2428087,SANEAMIENTO,TACNA,GOBIERNO NACIONAL,2428087-2428087-680915-2032854-129252,1,Consultoría de Obra,129252,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA,Convenio,0,0
2428356,SALUD,CAJAMARCA,GOBIERNO REGIONAL,2428356-2428356-763890-2091852-152016,35,Consultoría de Obra,152016,AMPLIACION DE LOS SERVICIOS DE ONCOLOGIA Y HEMODIALISIS DEL HOSPITAL REGIONAL DE CAJAMARCA; DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA,Adjudicación Simplificada - Ley N° 31125,0,0
2428356,SALUD,CAJAMARCA,GOBIERNO REGIONAL,2428356-2428356-767107-2099542-152016,42,Consultoría de Obra,152016,AMPLIACION DE LOS SERVICIOS DE ONCOLOGIA Y HEMODIALISIS DEL HOSPITAL REGIONAL DE CAJAMARCA; DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA,Adjudicación Simplificada - Ley N° 31125,0,0
2446345,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO REGIONAL,2446345-2446345-705281-2049567-142821,10,Obra,142821,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES EN LA QUEBRADA DE SAN IDELFONSO; EN LOS DISTRITOS DE EL PORVENIR; TRUJILLO Y VICTOR LARCO HERRERA DE LA  PROVINCIA DE TRUJILLO - DEPARTAMENTO DE LA LIBERTAD - PAQUETE 2 DIQUES,Convenio,0,0
2451550,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,2451550-2451550-702502-2059380-127427,6,Consultoría de Obra,127427,MEJORAMIENTO DE LA CARRETERA IZCUCHACA - HUANTA; TRAMO: IZCUCHACA - MAYOCC DISTRITO DE IZCUCHACA - PROVINCIA DE HUANCAVELICA - DEPARTAMENTO DE HUANCAVELICA,Adjudicación Simplificada,0,0
2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,2454755-2454755-621993-2003957-116356,9,Consultoría de Obra,116356,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.,Adjudicación Simplificada,0,0
2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,2454755-2454755-837834-2161318-116356,10,Consultoría de Obra,116356,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.,Concurso Público,0,0
2470680,TRANSPORTE,PIURA,GOBIERNO NACIONAL,2470680-2470680-693030-2055637-138923,45,Consultoría de Obra,138923,MEJORAMIENTO DE LA CARRETERA RUTA PE-1N T; TRAMO: PAIMAS - AYABACA - EMP. PE-3N (SOCCHABAMBA),Concurso Público,0,0
2471722,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,2471722-2471722-818155-2130970-164856,4,Consultoría de Obra,164856,"PIP: ""MEJORAMIENTO DEL SERVICIO DE HABITABILIDAD INSTITUCIONAL Y DE VIVIENDAS DE LAS UNIDADES ACANTONADAS EN EL FUERTE GRAL. DE DIVISIÓN RAFAEL HOYOS RUBIO; UBICADO EN EL DISTRITO DEL RIMAC - DPTO/PROV LIMA - LIMA""",Adjudicación Simplificada,0,0
2471736,AGROPECUARIA,SAN MARTIN,GOBIERNO LOCAL,2471736-2471736-655576-2020834-131605,5,Consultoría de Obra,131605,MEJORAMIENTO DE LA INFRAESTRUCTURA DE RIEGO DEL CANAL DE IRRIGACIÓN MARGEN IZQUIERDA DEL RÍO SISA DE LOS DISTRITOS DE SAN PABLO; SAN HILARION; PUERTO RICO Y DISTRITO DE CASPISAPA - PROVINCIA DE PICOTA - DEPARTAMENTO DE SAN MARTIN ,Adjudicación Simplificada,0,0
2472603,TRANSPORTE,PIURA,GOBIERNO NACIONAL,2472603-2472603-656014-2036906-132120,22,Consultoría de Obra,132120,CONSTRUCCION DE PUENTES POR REEMPLAZO EN SULLANA TAMBOGRANDE PAIMAS,Concurso Público,0,0
2473375,TRANSPORTE,CALLAO,GOBIERNO NACIONAL,2473375-2473375-769507-2097720-153456,2,Consultoría de Obra,153456,ESTUDIO DEFINITIVO DE INGENIERIA DEL PROYECTO DE CONSTRUCCION VIA EXPRESA SANTA ROSA -VESR,Convenio,0,0
2479971,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,2479971-2479971-820095-2143955-165523,8,Consultoría de Obra,165523,SERVICIO DE CONSULTORIA DE SUPERVISION DE LA OBRA AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN LOS DISTRITOS DE SOCABAYA; SABANDIA Y CHARACATO DE LA PROVINCIA DE AREQUIPA; DEPARTAMENTO DE AREQUIPA,Concurso Público,0,0
2479971,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,2479971-2479971-892317-2186347-163741,14,Obra,163741,OBRA: AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN LOS DISTRITOS DE SOCABAYA; SABANDIA Y CHARACATO DE LA PROVINCIA DE AREQUIPA; DEPARTAMENTO DE AREQUIPA,Adjudicación Simplificada,0,0
2487020,AGROPECUARIA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2487020-2487020-702640-2062038-129393,2,Consultoría de Obra,129393,Mejoramiento y ampliacion del servicio de agua para riego del Sistema de Riego Yanapujio-Valle de Tambo en los distritos de Ichuña y Ubinas de la provincia de General Sanchez Cerro del departamento de Moquegua y la provincia de Islay del departamento de Arequipa Codigo Unico de Inversion CUI N 2487020,Concurso Público,0,0
2487020,AGROPECUARIA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2487020-2487020-707056-2061035-129393,1,Consultoría de Obra,129393,Mejoramiento y ampliacion del servicio de agua para riego del Sistema de Riego Yanapujio-Valle de Tambo en los distritos de Ichuña y Ubinas de la provincia de General Sanchez Cerro del departamento de Moquegua y la provincia de Islay del departamento de Arequipa Codigo Unico de Inversion CUI N 2487020,Concurso Público,0,0
2489058,TRANSPORTE,LORETO,GOBIERNO REGIONAL,2489058-2489058-891853-2187416-500659,1,Consultoría de Obra,500659,MEJORAMIENTO Y AMPLIACIÓN DE LA INFRAESTRUCTURA VIAL DE LA AVENIDA ABELARDO QUIÑONES EN LOS DISTRITOS DE BELÉN Y SAN JUAN BAUTISTA DE LA PROVINCIA DE MAYNAS - DEPARTAMENTO DE LORETO,Concurso Público,0,0
2489058,TRANSPORTE,LORETO,GOBIERNO REGIONAL,2489058-2489058-894077-2187247-500659,2,Consultoría de Obra,500659,MEJORAMIENTO Y AMPLIACIÓN DE LA INFRAESTRUCTURA VIAL DE LA AVENIDA ABELARDO QUIÑONES EN LOS DISTRITOS DE BELÉN Y SAN JUAN BAUTISTA DE LA PROVINCIA DE MAYNAS - DEPARTAMENTO DE LORETO,Concurso Público,0,0
2493096,TRANSPORTE,ANCASH,GOBIERNO LOCAL,2493096-2493096-652517-2033185-130851,11,Consultoría de Obra,130851,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR DE LA CARRETERA DEPARTAMENTAL AN-106-100KM TRAMO (YUNGAY; LLANGANUCO; YANAMA VAQUERIA; PUENTE LLACMA) EN LOS DISTRITOS DE YUNGAY Y YANAMA; DE LA PROVINCIA DE YUNGAY,Adjudicación Simplificada,0,0
2494144,EDUCACIÓN,JUNIN,GOBIERNO REGIONAL,2494144-2494144-792971-2132605-158003,6,Obra,158003,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE FORMACIÓN PROFESIONAL EN LA UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA - DISTRITO DE PICHANAQUI - PROVINCIA DE CHANCHAMAYO - DEPARTAMENTO DE JUNIN,Licitación Pública,0,0
2494144,EDUCACIÓN,JUNIN,GOBIERNO REGIONAL,2494144-2494144-862805-2165816-158003,59,Consultoría de Obra,158003,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE FORMACIÓN PROFESIONAL EN LA UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA - DISTRITO DE PICHANAQUI - PROVINCIA DE CHANCHAMAYO - DEPARTAMENTO DE JUNIN,Adjudicación Simplificada,0,0
2494306,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2494306-2494306-686122-2046729-138963,61,Consultoría de Obra,138963,CONSTRUCCION DE COLECTOR PRIMARIO; EN EL(LA) TRAMO DEL COLECTOR CIRCUNVALACIÓN DESDE LA AV. SANTIAGO DE SURCO CON AV. LOS PROCERES DISTRITO SANTIAGO DE SURCO HASTA LA AV. SANTA ROSA CON AV. SANTA TERESA  DISTRITO DE CHORRILLOS; PROVINCIA LIMA; DEPARTAMENTO LIMA,Concurso Público,0,0
2495613,TRANSPORTE,CALLAO,GOBIERNO NACIONAL,2495613-2495613-704327-2069511-142811,3,Consultoría de Obra,142811,CREACION DEL ANTEPUERTO DEL CALLAO Y MEJORAMIENTO DE VIAS DE ACCESO AL PUERTO Y ANTEPUERTO CALLAO DEL DISTRITO DE CALLAO - PROVINCIA CONSTITUCIONAL DEL CALLAO - DEPARTAMENTO DE CALLAO,Concurso Público,0,0
2496772,ORDEN PÚBLICO Y SEGURIDAD,TUMBES,GOBIERNO NACIONAL,2496772-2496772-701979-2046977-141923,9,Obra,141923,CREACION DE SERVICIO DE PROTECCION FRENTE A INUNDACIONES EN AMBAS MARGENES DEL RIO TUMBES; EN TRAMOS VULNERABLES DESDE LA ESTACION EL TIGRE HASTA LA SALIDA AL MAR; EN LOS DISTRITOS DE PAMPAS DE HOSPITAL; SAN JACINTO; SAN JUAN DE LA VIRGEN; CORRALES Y TUMBES; PROVINCIA DE TUMBES; DEPARTAMENTO DE TUMBES,Convenio,0,0
2498739,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,2498739-2498739-701912-2046940-141927,8,Obra,141927,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES DEL RÍO CAÑETE ENTRE EL TRAMO DESEMBOCADURA DEL RIO CAÑETE - LOCALIDAD DE PAULLO EN LOS DISTRITOS DE SAN VICENTE DE CAÑETE; NUEVO IMPERIAL Y LUNAHUANA DE LA  PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA - PAQUETE 01,Convenio,0,0
