CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,ANHO,MES,Planificado,Real,IND_Intervension,IND_Residente,IND_Monto_Adelanto_Materiales,IND_Monto_Adelanto_Directo,IND_Fecha_Adelanto_Materiales,IND_Fecha_Adelanto_Directo
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,NULL,NULL,0,0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-659741-2012642-82706,2023,7,0.84,0.67,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-689292-2046091-82706,2023,7,0.84,0.67,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-659741-2012642-82706,2023,3,0.79,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-689292-2046091-82706,2023,3,0.79,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-659741-2012642-82706,2023,2,0.77,0.67,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-689292-2046091-82706,2023,2,0.77,0.67,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-659741-2012642-82706,2023,6,0.83,0.67,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-689292-2046091-82706,2023,6,0.83,0.67,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-659741-2012642-82706,2023,5,1,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-689292-2046091-82706,2023,5,1,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
2234355,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2234355-116051-659741-2012642-82706,2023,4,0.82,0.68,NORMAL,ALERTA,ALERTA,NORMAL,NORMAL,NORMAL
