CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS,CODIGO_RUC_GANADOR,RAZON_SOCIAL,CONVOCATORIA_PROCESO_GANADO,TotalProcesosParticipantes,CODIGO_CONTRATO,NUMERO_CONTRATO,CODIGO_RUC_PARTICIPANTE,NOMBRE_PARTICIPANTE
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,MENDOZA PALOMINO JUAN(*),869397,123,2169938,022-2023-MTC/20.2,10710986792,MENDOZA PALOMINO JUAN(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,PRW INGENIERIA Y CONSTRUCCION S.A.C.,869397,123,2169938,022-2023-MTC/20.2,20522404331,PRW INGENIERIA Y CONSTRUCCION S.A.C.
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,URCI CONSULTORES S.L. SUCURSAL DEL PERU,869397,123,2169938,022-2023-MTC/20.2,20524383901,URCI CONSULTORES S.L. SUCURSAL DEL PERU
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,HEXA CONSULTING & BUILDING E.I.R.L. - HEXA(*),869397,123,2169938,022-2023-MTC/20.2,20546957056,HEXA CONSULTING & BUILDING E.I.R.L. - HEXA(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,CONSORCIO W & C,869397,123,2169938,022-2023-MTC/20.2,20600601467,CONSORCIO W & C
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,MURARIA E.I.R.L(*),869397,123,2169938,022-2023-MTC/20.2,20600896394,MURARIA E.I.R.L(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-869397-2169938-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20522404331,MANALBA CORP S.A.C.,869397,123,2169938,022-2023-MTC/20.2,20604335290,MANALBA CORP S.A.C.
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,consorcio consultor peajes,870112,181,2169901,015-2023-MTC/20.2,10090325073,consorcio consultor peajes
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,DAMIAN SUCLUPE CESAR WILLIAM(*),870112,181,2169901,015-2023-MTC/20.2,10175513405,DAMIAN SUCLUPE CESAR WILLIAM(*)
2002210,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2002210-8880-870112-2169901-826,60,Consultoría de Obra,826,Rehabilitación y Mejoramiento de la Carretera Chamaya ¿ Jaen ¿ San Ignacio ¿ Río Canchis; Tramo Pericos ¿ San Ignacio (Inc. Vía de Evitamiento),Concurso Público,0,0,20528975055,CONSORCIO MURARIA,870112,181,2169901,015-2023-MTC/20.2,10181406157,CONSORCIO MURARIA
