CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,CODIGO_OBRA,NOMBRE_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,RIESGO_OBRA,RIESGO_DESCRIPCION_OBRA
2337718,TRANSPORTE,CUSCO,GOBIERNO NACIONAL,2337718-376654-641973-2022745-128472,128472,ESTUDIO DEFINITIVO DEL PROYECTO: Mejoramiento de la Carretera Emp. PE-28C (Dv. Pichari)-Abra Cielo Punco-Boca Santa Ana-Kepashiato-Kumpirushiato-Kiteni-Palma Real Tramo I y Tramo II,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,4,Extremadamente Riesgosa
2337745,TRANSPORTE,AREQUIPA,GOBIERNO REGIONAL,2337745-376679-811539-2144452-151408,151408,MEJORAMIENTO DE LA TRANSITABILIDAD EN LA VIA DEPARTAMENTAL; RUTA AR-109 EN LOS DISTRITOS DE MAJES; LLUTA Y HUAMBO DE LA  PROVINCIA DE CAYLLOMA - DEPARTAMENTO DE AREQUIPA,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,4,Extremadamente Riesgosa
2338279,TRANSPORTE,CAJAMARCA,GOBIERNO NACIONAL,2338279-377183-724906-2077174-146140,146140,CREACIÓN DE LA VÍA DE EVITAMIENTO EN LA CIUDAD DE JAÉN,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,2,Medianamente Riesgosa
2340083,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2340083-378895-640980-2006405-115016,115016,AMPLIACIÓN Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 268;269;270;271;272;274;275 Y 276- DISTRITO VENTANILLA -PROVINCIA CONSTITUCIONAL DEL CALLAO,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-696238-2067909-141090,141090,Construcción del Centro de Operaciones de Moscas de la Fruta-Baños del Inca en Cajamarca,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-709979-2084829-141090,141090,Construcción del Centro de Operaciones de Moscas de la Fruta-Baños del Inca en Cajamarca,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-727368-2122016-146965,146965,CONSTRUCCION DEL CENTRO DE OPERACIONES SAN SEBASTIAN - CUSCO,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,4,Extremadamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-775383-2139382-156608,156608,Construcción del Centro de operaciones de Moscas de la Fruta Zona Industrial - Piura,En Ejecución,SUPERVISIÓN,0,0,1,0,0,Sin Riesgo
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-775384-2139238-156611,156611,Ampliación y remodelación del centro de producción de moscas de la fruta Piura ,Finalizado,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-796240-2127944-156611,156611,Ampliación y remodelación del centro de producción de moscas de la fruta Piura ,Finalizado,EJECUCIÓN,0,0,0,0,4,Extremadamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-811201-2132272-156608,156608,Construcción del Centro de operaciones de Moscas de la Fruta Zona Industrial - Piura,En Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,0,Sin Riesgo
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-828935-2150823-156615,156615,Construcción del Centro de operaciones de Moscas de la Fruta Calca - Cusco,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1,Bajamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-848717-2159087-156617,156617,Construcción de la Zona de tratamiento tipo III Caracoto - Puno,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1,Bajamente Riesgosa
2343984,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2343984-382554-863720-2170428-156614,156614,Construcción de la Zona de tratamiento tipo III Yanatile - Cusco,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,0,Sin Riesgo
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-696364-2068147-141091,141091,Construcción del Centro de Procesamiento Primario de Muestras Ica,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-696594-2067901-141093,141093,Construcción del Laboratorio de Crianza de Insectos Benéficos y Hospederos Ate,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-697157-2067916-141094,141094,Remodelación y Ampliación del Laboratorio de Microbiología La Molina,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-709977-2084826-141093,141093,Construcción del Laboratorio de Crianza de Insectos Benéficos y Hospederos Ate,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-715859-2072330-144011,144011,Construcción del Centro de Procesamiento Primario de Muestras  Lambayeque,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-719906-2084816-141092,141092,Construcción del Centro de Procesamiento Primario de Muestras Arequipa,Finalizado,ETAPA NO IDENTIFICADA,0,0,0,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-719936-2084804-141091,141091,Construcción del Centro de Procesamiento Primario de Muestras Ica,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-729473-2087592-144271,144271,Ampliación del Laboratorio de Residuos Tóxicos la Molina,Finalizado,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-734917-2079058-141092,141092,Construcción del Centro de Procesamiento Primario de Muestras Arequipa,Finalizado,ETAPA NO IDENTIFICADA,0,0,0,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-775383-2139382-156609,156609,Construcción de la Sede para Vigilancia sanitaria Tumbes,En Ejecución,SUPERVISIÓN,0,0,0,0,0,Sin Riesgo
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-775404-2139241-156613,156613,Construcción de la Sede para Vigilancia sanitaria y Zona de tratamiento tipo II Juan Guerra - San Martin,En Ejecución,SUPERVISIÓN,0,0,0,0,0,Sin Riesgo
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-782853-2140234-157823,157823,AMPLIACIÓN DE MÓDULO DE AMBIENTES DE DIAIA -  AREQUIPA,En Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1,Bajamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-782855-2140237-157822,157822,CONSTRUCCIÓN SALA DE COSECHA; MÓDULO DE VESTIDORES Y MÓDULO DE ELEVADOR Y MEJORAMIENTO DE LABORATORIO DE CONTROL BIOLÓGICO,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,0,Sin Riesgo
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-803024-2127961-156612,156612,Construcción de la Sede para Vigilancia sanitaria Chachapoyas - Amazonas.,En Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,4,Extremadamente Riesgosa
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-809167-2135355-156613,156613,Construcción de la Sede para Vigilancia sanitaria y Zona de tratamiento tipo II Juan Guerra - San Martin,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,0,Sin Riesgo
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-822852-2140396-156609,156609,Construcción de la Sede para Vigilancia sanitaria Tumbes,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,0,Sin Riesgo
2344004,ENERGIA Y RECURSOS MINERALES,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2344004-382572-846096-2157409-157823,157823,AMPLIACIÓN DE MÓDULO DE AMBIENTES DE DIAIA -  AREQUIPA,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1,Bajamente Riesgosa
2346750,SALUD,CAJAMARCA,GOBIERNO NACIONAL,2346750-2346750-843777-2158284-169751,169751,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL BAMBAMARCA; CENTRO POBLADO DE BAMBAMARCA - DISTRITO DE BAMBAMARCA - PROVINCIA DE HUALGAYOC - REGIÓN CAJAMARCA,En Ejecución,EJECUCIÓN,0,0,0,0,1,Bajamente Riesgosa
2346750,SALUD,CAJAMARCA,GOBIERNO NACIONAL,2346750-2346750-855158-2172532-169751,169751,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL BAMBAMARCA; CENTRO POBLADO DE BAMBAMARCA - DISTRITO DE BAMBAMARCA - PROVINCIA DE HUALGAYOC - REGIÓN CAJAMARCA,En Ejecución,SUPERVISIÓN,0,0,0,0,1,Bajamente Riesgosa
2357438,ORDEN PÚBLICO Y SEGURIDAD,PUNO,GOBIERNO REGIONAL,2357438-2357438-666873-2038448-135093,135093,Servicio de Consultoría para la elaboración del Expediente Técnico del Proyecto: Creación del servicio de protección contra inundaciones en la localidad de Juliaca; márgenes derecha e izquierda del rio Coata progresiva Km 0 000-22 500; servicios Unacolla Maravilla y Cacachi de los distritos de Juliaca; San Miguel provincia de San Román; departamento de Puno.,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,2,Medianamente Riesgosa
2357438,ORDEN PÚBLICO Y SEGURIDAD,PUNO,GOBIERNO REGIONAL,2357438-2357438-708379-2067721-135093,135093,Servicio de Consultoría para la elaboración del Expediente Técnico del Proyecto: Creación del servicio de protección contra inundaciones en la localidad de Juliaca; márgenes derecha e izquierda del rio Coata progresiva Km 0 000-22 500; servicios Unacolla Maravilla y Cacachi de los distritos de Juliaca; San Miguel provincia de San Román; departamento de Puno.,Sin Ejecución,SUPERVISIÓN,0,0,1,0,2,Medianamente Riesgosa
2362485,SALUD,ANCASH,GOBIERNO REGIONAL,2362485-2362485-715882-2057437-141282,141282,MEJORAMIENTO Y AMPLIACION LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE CARAZ SAN JUAN DE DIOS; BARRIO DE MANCHURIA; CENTRO POBLADO DE CARAZ - DISTRITO DE CARAZ - PROVINCIA DE HUAYLAS; DEPARTAMENTO DE ANCASH,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,0,Sin Riesgo
2376184,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2376184-296934-845678-2169485-168784,168784,MEJORAMIENTO DE LA CALIDAD DE SERVICIO  DE ABASTECIMIENTO DE AGUA POTABLE  EN LAS LOCALIDADES DE  SULLANA QUERECOTILLO; SALITRAL Y MARCAVELICA  DE LA PROVINCIA DE SULLANA DEPARTAMENTO DE PIURA   ,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2378135,PESCA,PIURA,GOBIERNO REGIONAL,2378135-2378135-725280-2075413-140660,140660,MEJORAMIENTO DE LA RUTA DEPARTAMENTAL PI 127 DISTRITOS DE CATACAOS LA ARENA  LA UNION Y VICE PROVINCIAS DE PIURA Y SECHURA DEPARTAMENTO PIURA,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,4,Extremadamente Riesgosa
2378135,PESCA,PIURA,GOBIERNO REGIONAL,2378135-2378135-744606-2081915-140660,140660,MEJORAMIENTO DE LA RUTA DEPARTAMENTAL PI 127 DISTRITOS DE CATACAOS LA ARENA  LA UNION Y VICE PROVINCIAS DE PIURA Y SECHURA DEPARTAMENTO PIURA,Sin Ejecución,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
2382880,JUSTICIA,PIURA,GOBIERNO REGIONAL,2382880-2382880-783281-2120097-157653,157653,AMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA PARA RIEGO EN LA ZONA DE INFLUENCIA DEL CANAL MIGUEL CHECA; PROVINCIAS DE SULLANA Y PAITA; DEPARTAMENTO DE PIURA,Sin Ejecución,EXPEDIENTE TÉCNICO,30,0,1,1,4,Extremadamente Riesgosa
2382880,JUSTICIA,PIURA,GOBIERNO REGIONAL,2382880-2382880-808142-2126621-157653,157653,AMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA PARA RIEGO EN LA ZONA DE INFLUENCIA DEL CANAL MIGUEL CHECA; PROVINCIAS DE SULLANA Y PAITA; DEPARTAMENTO DE PIURA,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,1,4,Extremadamente Riesgosa
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,2386120-2386120-631171-2009100-126277,126277,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A DE LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA - DISTRITO DE SACSAMARCA; OSCCONTA-DISTRITO DE CABANA; CCERONTA - DISTRITO DE PUQUIO - PROVINICA DE LUCANAS - DEPARTAMENTO DE AYACUCHO.,Inactivo,EXPEDIENTE TÉCNICO,0,0,0,0,2,Medianamente Riesgosa
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,2386120-2386120-636909-2009130-126276,126276,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACCSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A EN LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA- DISTRITO DE SACSAMARCA;OSCCONTA-DISTRITO DE CABANA;CCERONTA-DISTRITO DE PUQUIO-PROVINCIA DE LUCANAS-DEPARTAMENTO DE AYACUCHO.,En Ejecución,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,2386120-2386120-842485-2163769-126277,126277,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A DE LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA - DISTRITO DE SACSAMARCA; OSCCONTA-DISTRITO DE CABANA; CCERONTA - DISTRITO DE PUQUIO - PROVINICA DE LUCANAS - DEPARTAMENTO DE AYACUCHO.,Inactivo,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,2386120-2386120-853767-2163761-126276,126276,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACCSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A EN LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA- DISTRITO DE SACSAMARCA;OSCCONTA-DISTRITO DE CABANA;CCERONTA-DISTRITO DE PUQUIO-PROVINCIA DE LUCANAS-DEPARTAMENTO DE AYACUCHO.,En Ejecución,EJECUCIÓN,0,0,1,0,4,Extremadamente Riesgosa
2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,2387810-2387810-582351-2173525-115304,115304,MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE; ALCANTARILLADO Y TRATAMIENTO DE LAS AGUAS RESIDUALES DE LA CIUDAD DE HUARMEY DISTRITO DE HUARMEY - PROVINCIA DE HUARMEY - DEPARTAMENTO DE ANCASH,En Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,0,Sin Riesgo
2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,2392641-2392641-631923-2003510-114078,114078,Mejoramiento de la Carretera  Huancavelica-Santa Ines-Empalme Ruta 28A; Villa Los Libertadores (Pampano); Tramo: Santa Ines-Pampano,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,4,Extremadamente Riesgosa
2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,2392641-2392641-866186-2174904-114078,114078,Mejoramiento de la Carretera  Huancavelica-Santa Ines-Empalme Ruta 28A; Villa Los Libertadores (Pampano); Tramo: Santa Ines-Pampano,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,4,Extremadamente Riesgosa
2392977,TRANSPORTE,MOQUEGUA,GOBIERNO NACIONAL,2392977-2392977-638751-2043011-127708,127708,CREACION DE LA VIA EVITAMIENTO ILO  DISTRITO DE ILO - PROVINCIA DE ILO - DEPARTAMENTO DE MOQUEGUA,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,4,Extremadamente Riesgosa
2393340,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,2393340-2393340-631196-2007473-126280,126280,MEJORAMIENTO CARRETERA EN LOS DISTRITOS DE LANGUI; LAYO Y KUNTURKANKI DE LA PROVINCIA DE CANAS - DEPARTAMENTO DE CUSCO,Sin Ejecución,EXPEDIENTE TÉCNICO,30,0,0,0,4,Extremadamente Riesgosa
2393340,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,2393340-2393340-657616-2023296-126280,126280,MEJORAMIENTO CARRETERA EN LOS DISTRITOS DE LANGUI; LAYO Y KUNTURKANKI DE LA PROVINCIA DE CANAS - DEPARTAMENTO DE CUSCO,Sin Ejecución,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2393366,TRANSPORTE,ICA,GOBIERNO NACIONAL,2393366-2393366-660818-2039877-133911,133911,MEJORAMIENTO Y AMPLIACIÓN DE LA CARRETERA PE-1S; TRAMO: GUADALUPE - ICA - DV. OCUCAJE; EN LOS DISTRITOS DE ICA; SANTIAGO Y OCUCAJE DE LA PROVINCIA DE ICA - DEPARTAMENTO DE ICA,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,4,Extremadamente Riesgosa
2395022,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2395022-2395022-683269-2037468-139004,139004,MEJORAMIENTO Y AMPLIACION DE LOS COLECTORES PRIMARIOS EN EL AREA DE DRENAJE DE LOS COLECTORES COMAS Y CHILLÓN; DISTRITOS: CARABAYLLO; COMAS; LOS OLIVOS; SAN MARTIN DE PORRES E INDEPENDENCIA ; 5 DISTRITOS DE LA PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1,Bajamente Riesgosa
2402106,SALUD,HUANUCO,GOBIERNO REGIONAL,2402106-94845-696507-2054187-109529,109529,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL SEGUNDO NIVEL; II1 DE COMPLEJIDAD DEL HOSPITAL LA UNIÓN DEL DISTRITO DE LA UNIÓN  PROVINCIA DE DOS DE MAYO  DEPARTAMENTO DE HUÁNUCO,Sin Ejecución,SUPERVISIÓN,0,0,0,0,4,Extremadamente Riesgosa
2403503,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2403503-167501-771812-2107949-155990,155990,Mejoramiento Y Ampliación De Los Sistemas De Agua Potable; Alcantarillado Y Tratamiento De Aguas Residuales Para El Esquema José Gálvez Sector315 Y Esquema Villa Alejandro en los distritos Villa María del Triunfo y Lurín de la Provincia de Lima; departamento de Lima;- Etapa 1,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,2,Medianamente Riesgosa
2403504,SALUD Y SANEAMIENTO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2403504-95668-887027-2180323-83650,83650,SECTORIZACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA PARTE LATA DE CHORRILLOS: MATRIZ PRÓCERES - CHORRILLOS ,En Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,4,Extremadamente Riesgosa
2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,2403922-258244-631773-2013670-115003,115003,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES; PARA LOS DISTRITOS DE CAMANÁ; SAMUEL PASTOR Y NICOLAS DE PIÉROLA; PROVINCIA DE CAMANÁ; AREQUIPA,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2403922,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,2403922-258244-633141-2013576-115003,115003,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES; PARA LOS DISTRITOS DE CAMANÁ; SAMUEL PASTOR Y NICOLAS DE PIÉROLA; PROVINCIA DE CAMANÁ; AREQUIPA,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1,Bajamente Riesgosa
2412703,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,2412703-2412703-777241-2164311-152911,152911,CONSTRUCCIÓN DEL ARCHIVO CENTRAL DE LA CONTRALORIA GENERAL DE LA REPÚBLICA EN EL DISTRITO DE SANTA ROSA  LIMA,En Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,4,Extremadamente Riesgosa
2412703,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,2412703-2412703-819493-2184883-161132,161132,Elaboración del diseño (expediente técnico) y ejecución de la obra; equipamiento y mobiliario de la Gerencia Regional de Control de Loreto,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,0,Sin Riesgo
2412703,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,2412703-2412703-826086-2184736-152911,152911,CONSTRUCCIÓN DEL ARCHIVO CENTRAL DE LA CONTRALORIA GENERAL DE LA REPÚBLICA EN EL DISTRITO DE SANTA ROSA  LIMA,En Ejecución,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
2412955,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2412955-2412955-649178-2025819-115008,115008,AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO EN NUEVAS HABILITACIONES PARTES ALTAS DE HUAYCAN II ;SECTORES 150; 151;152;153;154 DISTRITO ATE -PROVINCIA DE LIMA-DEPARTAMENTO DE LIMA.,Sin Ejecución,EXPEDIENTE TÉCNICO,123,0,1,0,4,Extremadamente Riesgosa
2414831,AGROPECUARIA,HUANCAVELICA,GOBIERNO REGIONAL,2414831-2414831-632129-2007833-119177,119177,"CONTRATACION DEL SERVICIO DE CONSULTORIA DE OBRA ELABORACION DEL EXPEDIENTE TECNICO DEL PROYECTO: ""CREACIÓN DEL SERVICIO DE RIEGO EN LOS DISTRITOS DE ACOBAMBA; POMACOCHA Y CAJA DE LA PROVINCIA DE ACOBAMBA; DEPARTAMENTO DE HUANCAVELICA""",Sin Ejecución,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-604345-2015515-105653,105653,Instalación de Puentes Modulares Zona Norte 1 La Libertad; conformado por el Puente Capulí; Cacique; Chahuin; Chuchalac; El Bosque; El Ingenio; El Molino; La Voladora y San Simón.,Sin Ejecución,SUPERVISIÓN,0,0,1,0,2,Medianamente Riesgosa
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-643287-2025634-129257,129257,EJECUCIÓN DE OBRA: INSTALACIÓN DEL PUENTE MODULAR: ACCOLLA; UBICADO EN EL DISTRITO DE SAISA; PROVINCIA DE LUCANAS; REGIÓN AYACUCHO.,Finalizado,EJECUCIÓN,184,0,0,0,1,Bajamente Riesgosa
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-644176-2047150-129392,129392,EJECUCIÓN DE LA OBRA: INSTALACIÓN DEL PUENTE MODULAR: SOLITARIO; UBICADO EN EL DISTRITO DE HUANTAN; PROVINCIA DE YAUYOS; DEPARTAMENTO DE LIMA,Finalizado,EJECUCIÓN,98,0,0,0,1,Bajamente Riesgosa
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-645876-2010352-129614,129614,EJECUCIÓN DE OBRA: INSTALACIÓN DE PUENTE MODULAR: ACOPALLPA; UBICADO EN EL DISTRITO DE MACHAGUAY; PROVINCIA DE CASTILLA; DEPARTAMENTO DE AREQUIPA.,Finalizado,SUPERVISIÓN,187,0,0,0,2,Medianamente Riesgosa
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-649549-2013506-129613,129613,EJECUCIÓN DE OBRA: INSTALACIÓN DE PUENTE MODULAR: HUACACHALOQUE; UBICADO EN EL DISTRITO DE SANTA; PROVINCIA DE SANTA; REGIÓN ANCASH,Finalizado,EJECUCIÓN,150,0,0,0,1,Bajamente Riesgosa
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2425240-2425240-649683-2019501-130452,130452,INSTALACIÓN DEL PUENTE MODULAR COCHAPETI; DISTRITO DE CACERES DEL PERU; PROVINCIA DE SANTA; REGIÓN ANCASH.,Finalizado,EJECUCIÓN,62,0,0,0,1,Bajamente Riesgosa
