CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,CODIGO_OBRA,NOMBRE_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,RIESGO_OBRA,RIESGO_DESCRIPCION_OBRA
2282760,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2282760-172973-688300-2045681-47658,47658,ESTUDIO DEFINITIVO PARA EL MEJORAMIENTO DE LA CARRETERA SAN MARIA  - SANTA TERESA - HIDROELECTRICA MACHU PICCHU,Sin Ejecución,SUPERVISIÓN,0,0,1,0,4,Extremadamente Riesgosa
2282760,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2282760-172973-696209-2059355-135454,135454,MEJORAMIENTO DE LA CARRETERA SANTA MARIA SANTA TERESA PUENTE HIDROELECTRICA MACHU PICCHU,En Ejecución,EJECUCIÓN,0,0,1,0,4,Extremadamente Riesgosa
2284956,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2284956-303267-719178-2093374-86858,86858,Contratación del Servicio de Consultoría para la Elaboración del Estudio Definitivo del Proyecto: CREACION DE LOS SERVICIOS DEL HOSPITAL ESPECIALIZADO EN LA RED ASISTENCIAL CAJAMARCA - ESSALUD; DISTRITO DE CAJAMARCA; PROVINCIA DE CAJAMARCA Y DEPARTAMENTO DE CAJAMARCA,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2284956,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2284956-303267-727717-2096706-138999,138999,CREACION DE LOS SERVICIOS DEL HOSPITAL ESPECIALIZADO EN LA RED ASISTENCIAL CAJAMARCA-ESSALUD; DISTRITO DE CAJAMARCA; PROVINCIA DE CAJAMARCA; DEPARTAMENTO DE CAJAMARCA,En Ejecución,EJECUCIÓN,0,0,0,0,2,Medianamente Riesgosa
2300016,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2300016-314709-718329-2077374-86930,86930,CREACIÓN DE LOS SERVICIOS DE SALUD DEL HOSPITAL DEL ALTIPLANO DE LA REGIÓN DE PUNO ESSALUD EN EL DISTRITO DE PUNO PROVINCIA DE PUNO DEPARTAMENTO DE PUNO,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2300016,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2300016-314709-739838-2085159-138996,138996,CREACIÓN DE LOS SERVICIOS DE SALUD DEL HOSPITAL DEL ALTIPLANO DE LA REGIÓN PUNO-ESSALUD EN EL DISTRITO DE PUNO; PROVINCIA DE PUNO Y DEPARTAMENTO DE PUNO,En Ejecución,EJECUCIÓN,123,0,0,0,2,Medianamente Riesgosa
2300078,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2300078-322746-600372-2012884-69352,69352,"EJECUCION DE LA OBRA: ""CREACIÓN DEL PUENTE COMUNEROS ENTRE LA AV. DANIEL ALCIDES CARRIÓN Y CA. MAX HONGLER EN LOS DISTRITOS DE HUANCAYO - HUAMANCACA CHICO; PROVINCIA DE HUANCAYO Y CHUPACA; REGIÓN JUNÍN"".",En Ejecución,SUPERVISIÓN,256,0,0,0,4,Extremadamente Riesgosa
2300355,TRANSPORTE,PUNO,GOBIERNO NACIONAL,2300355-336084-636997-2017813-127558,127558,MEJORAMIENTO DE LA CARRETERA PUTINA - DV. ANANEA - CUYO CUYO - SANDIA DISTRITO DE PUTINA - PROVINCIA DE SAN ANTONIO DE PUTINA - DEPARTAMENTO DE PUNO,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,4,Extremadamente Riesgosa
2300355,TRANSPORTE,PUNO,GOBIERNO NACIONAL,2300355-336084-748047-2089989-127558,127558,MEJORAMIENTO DE LA CARRETERA PUTINA - DV. ANANEA - CUYO CUYO - SANDIA DISTRITO DE PUTINA - PROVINCIA DE SAN ANTONIO DE PUTINA - DEPARTAMENTO DE PUNO,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,4,Extremadamente Riesgosa
2302972,PESCA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2302972-342038-702107-2057949-87051,87051,CONSTRUCCION DE LA PLANTA DE FRACCIONAMIENTO DE LIQUIDOS DE GAS NATURAL (LGN) EN LA PROVINCIA DE LA CONVENCION,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,2,Medianamente Riesgosa
2305241,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2305241-177553-686451-2070820-51734,51734,AMPLIACIÓN Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 311; 313; 330; 310; 312; 314; 300; 307; 319; 324 Y 301 NUEVA RINCONADA - DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARÍA DEL TRIUNFO Y VILLA EL SALVADOR- ETAPA 1 ,En Ejecución,EJECUCIÓN,0,0,1,0,2,Medianamente Riesgosa
2305241,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2305241-177553-686493-2087875-51734,51734,AMPLIACIÓN Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 311; 313; 330; 310; 312; 314; 300; 307; 319; 324 Y 301 NUEVA RINCONADA - DISTRITOS DE SAN JUAN DE MIRAFLORES; VILLA MARÍA DEL TRIUNFO Y VILLA EL SALVADOR- ETAPA 1 ,En Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,2,Medianamente Riesgosa
2309846,OTROS,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2309846-333160-879389-2187816-169496,169496,AMPLIACIÓN Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LOS AA.HH. DE LAS LOCALIDADES DE SULLANA; BELLAVISTA; MARCAVELICA Y QUERECOTILLO DE LA PROVINCIA DE SULLANA DEPARTAMENTO DE PIURA,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2311841,OTROS,MULTIDEPARTAMENTAL,GOBIERNO LOCAL,2311841-128903-654886-2079561-58678,58678,CONSTRUCCION DE LA AV. COSTA VERDE TRAMO: AV. RAFAEL ESCARDO - JR. VIRU; DISTRITO DE SAN MIGUEL - LIMA - LIMA,Finalizado,EXPEDIENTE TÉCNICO,0,0,1,0,2,Medianamente Riesgosa
2318430,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2318430-355479-691260-2049728-86587,86587,REEMPLAZO DEL PUENTE SAN FRANCISCO EN LA RED VIAL NACIONAL RUTA PE-28B; LA QUINUA-TAMBO-SAN FRANCISCO,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,2,Medianamente Riesgosa
2318535,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2318535-191091-877000-2175489-79744,79744,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA RUTA PE-08; EMP. PE-1N (CIUDAD DE DIOS)-EMP. PE-3N (CAJAMARCA); TRAMO: CIUDAD DE DIOS - CHILETE,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,4,Extremadamente Riesgosa
2318537,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2318537-185240-689283-2038940-41505,41505,ESTUDIO DE FACTIBILIDAD Y DEFINITIVO PARA LA CONSTRUCCION DE LA VIA DE EVITAMIENTO DE LA CIUDAD DE JULIACA,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1,Bajamente Riesgosa
2318537,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2318537-185240-731927-2084705-41505,41505,ESTUDIO DE FACTIBILIDAD Y DEFINITIVO PARA LA CONSTRUCCION DE LA VIA DE EVITAMIENTO DE LA CIUDAD DE JULIACA,Sin Ejecución,SUPERVISIÓN,0,0,1,0,2,Medianamente Riesgosa
2322531,OTROS,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,2322531-359457-557990-2184303-79268,79268,MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE SALUD DEL ESTABLECIMIENTO DE SALUD MARITZA CAMPOS DIAZ EN EL DISTRITO DE CERRO COLORADO ; PROVINCIA DE AREQUIPA - AREQUIPA,Finalizado,SUPERVISIÓN,0,0,1,0,2,Medianamente Riesgosa
2326592,AGROPECUARIA,HUANCAVELICA,GOBIERNO REGIONAL,2326592-363114-633184-2007815-119167,119167,"CONTRATACION DEL SERVICIO DE CONSULTORIA DE OBRA ELABORACION DEL EXPEDIENTE TECNICO DEL PROYECTO: ""MEJORAMIENTO DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO TULLPACANCHA; EN LOS DISTRITOS DE CHURCAMPA; LA MERCED Y SAN MIGUEL DE MAYOCC DE LA PROVINCIA DE CHURCAMPA - DEPARTAMENTO DE HUANCAVELICA",Sin Ejecución,SUPERVISIÓN,0,0,0,0,2,Medianamente Riesgosa
2327694,TRANSPORTE,SAN MARTIN,GOBIERNO NACIONAL,2327694-364106-725234-2079257-146172,146172,CREACIÓN DE LA VÍA DE EVITAMIENTO A LA CIUDAD DE JUANJUI,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,4,Extremadamente Riesgosa
