CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,NOMBRE_OBRA,EMPRESA_EJECUTORA,EMPRESA_SUPERVISORA,ESTADO_OBRA
2414831,AGROPECUARIA,HUANCAVELICA,GOBIERNO REGIONAL,119177,"CONTRATACION DEL SERVICIO DE CONSULTORIA DE OBRA ELABORACION DEL EXPEDIENTE TECNICO DEL PROYECTO: ""CREACIÓN DEL SERVICIO DE RIEGO EN LOS DISTRITOS DE ACOBAMBA; POMACOCHA Y CAJA DE LA PROVINCIA DE ACOBAMBA; DEPARTAMENTO DE HUANCAVELICA""",NULL,CONSORCIO SUPERVISOR ACOBAMBA;PROYECTO VERDE ASESORES Y CONSULTORES S.A.C.(*),Sin Ejecución
2193411,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,121881,MEJORAMIENTO DE LA CARRETERA HUANCAVELICA - YAULI - PUCAPAMPA (RUTA HV - 112),CHINA RAILWAY TUNNEL GROUP CO.; LTD SUCURSAL DEL PERU,CONSORCIO SUPERVISOR TRASSO VIAL;RBG INGENIEROS S.A.C.(*),En Ejecución
2193411,TRABAJO,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,121881,MEJORAMIENTO DE LA CARRETERA HUANCAVELICA - YAULI - PUCAPAMPA (RUTA HV - 112),CHINA RAILWAY TUNNEL GROUP CO.; LTD SUCURSAL DEL PERU,CONSORCIO SUPERVISOR TRASSO VIAL;RBG INGENIEROS S.A.C.(*),En Ejecución
2331034,SALUD,LA LIBERTAD,GOBIERNO NACIONAL,122362,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL CHOCOPE DE LA RED ASISTENCIAL LA LIBERTAD;  DISTRITO DE CHOCOPE - PROVINCIA DE ASCOPE - DEPARTAMENTO DE LA LIBERTAD,NULL,NULL,En Ejecución
2055893,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,12346,OBRA: CONSTRUCCION DE LA VIA COSTA VERDE - TRAMO CALLAO,NULL,ASISTENCIA TECNICA Y JURIDICA CONSULTORES SL,Finalizado
2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,124333,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA,NULL,NORPERUANA DE INGENIEROS S.A.C.,Sin Ejecución
2031000,AGRARIA,MULTIDEPARTAMENTAL,GOBIERNO REGIONAL,124333,AFIANZAMIENTO DEL RESERVORIO POECHOS - SECTOR HIDRAULICO CHIRA PIURA - II ETAPA,NULL,NORPERUANA DE INGENIEROS S.A.C.,Sin Ejecución
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,126276,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACCSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A EN LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA- DISTRITO DE SACSAMARCA;OSCCONTA-DISTRITO DE CABANA;CCERONTA-DISTRITO DE PUQUIO-PROVINCIA DE LUCANAS-DEPARTAMENTO DE AYACUCHO.,CONSORCIO VIAL LUCANAS;CONSTRUCTORA &amp; INMOBILIARIA SAGITARIO Y ASOCIADOS S.A.C. - SAGITARIO &amp; ASOCIADOS S.A.C.(*),BARRIENTOS QUISPE HENRI(*);CONSORCIO MONARCA,En Ejecución
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,126276,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACCSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A EN LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA- DISTRITO DE SACSAMARCA;OSCCONTA-DISTRITO DE CABANA;CCERONTA-DISTRITO DE PUQUIO-PROVINCIA DE LUCANAS-DEPARTAMENTO DE AYACUCHO.,CONSORCIO VIAL LUCANAS;CONSTRUCTORA &amp; INMOBILIARIA SAGITARIO Y ASOCIADOS S.A.C. - SAGITARIO &amp; ASOCIADOS S.A.C.(*),BARRIENTOS QUISPE HENRI(*);CONSORCIO MONARCA,En Ejecución
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,126277,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A DE LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA - DISTRITO DE SACSAMARCA; OSCCONTA-DISTRITO DE CABANA; CCERONTA - DISTRITO DE PUQUIO - PROVINICA DE LUCANAS - DEPARTAMENTO DE AYACUCHO.,NULL,CONSORCIO VIAS DE AYACUCHO;CONSULTORES DEL ORIENTE SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA(*),Inactivo
2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,126277,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SANCOS-SACSAMARCA-PUTACCASA-OSCCONTA-EMP PE-32A DE LAS PROVINCIAS DE HUANCASANCOS Y LUCANAS; SACSAMARCA; PUTACCASA - DISTRITO DE SACSAMARCA; OSCCONTA-DISTRITO DE CABANA; CCERONTA - DISTRITO DE PUQUIO - PROVINICA DE LUCANAS - DEPARTAMENTO DE AYACUCHO.,NULL,CONSORCIO VIAS DE AYACUCHO;CONSULTORES DEL ORIENTE SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA(*),Inactivo
2393340,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,126280,MEJORAMIENTO CARRETERA EN LOS DISTRITOS DE LANGUI; LAYO Y KUNTURKANKI DE LA PROVINCIA DE CANAS - DEPARTAMENTO DE CUSCO,NULL,MIRANDA FARFAN SAMUEL,Sin Ejecución
2393340,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,126280,MEJORAMIENTO CARRETERA EN LOS DISTRITOS DE LANGUI; LAYO Y KUNTURKANKI DE LA PROVINCIA DE CANAS - DEPARTAMENTO DE CUSCO,NULL,MIRANDA FARFAN SAMUEL,Sin Ejecución
2058733,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,127408,CONSTRUCCION Y MEJORAMIENTO CARRETERA CAMANA - DV.QUILCA - MATARANI - ILO - TACNA,NULL,NULL,Sin Ejecución
2451550,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,127427,MEJORAMIENTO DE LA CARRETERA IZCUCHACA - HUANTA; TRAMO: IZCUCHACA - MAYOCC DISTRITO DE IZCUCHACA - PROVINCIA DE HUANCAVELICA - DEPARTAMENTO DE HUANCAVELICA,NULL,NULL,Sin Ejecución
2300355,TRANSPORTE,PUNO,GOBIERNO NACIONAL,127558,MEJORAMIENTO DE LA CARRETERA PUTINA - DV. ANANEA - CUYO CUYO - SANDIA DISTRITO DE PUTINA - PROVINCIA DE SAN ANTONIO DE PUTINA - DEPARTAMENTO DE PUNO,NULL,NULL,Sin Ejecución
2300355,TRANSPORTE,PUNO,GOBIERNO NACIONAL,127558,MEJORAMIENTO DE LA CARRETERA PUTINA - DV. ANANEA - CUYO CUYO - SANDIA DISTRITO DE PUTINA - PROVINCIA DE SAN ANTONIO DE PUTINA - DEPARTAMENTO DE PUNO,NULL,NULL,Sin Ejecución
2392977,TRANSPORTE,MOQUEGUA,GOBIERNO NACIONAL,127708,CREACION DE LA VIA EVITAMIENTO ILO  DISTRITO DE ILO - PROVINCIA DE ILO - DEPARTAMENTO DE MOQUEGUA,NULL,NULL,Sin Ejecución
2337718,TRANSPORTE,CUSCO,GOBIERNO NACIONAL,128472,ESTUDIO DEFINITIVO DEL PROYECTO: Mejoramiento de la Carretera Emp. PE-28C (Dv. Pichari)-Abra Cielo Punco-Boca Santa Ana-Kepashiato-Kumpirushiato-Kiteni-Palma Real Tramo I y Tramo II,NULL,NULL,Sin Ejecución
2428087,SANEAMIENTO,TACNA,GOBIERNO NACIONAL,129252,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA,NULL,CONSORCIO TACNA;CONSULTORES DE INGENIERIA UG21 SOCIEDAD LIMITADA(*),Sin Ejecución
2428087,SANEAMIENTO,TACNA,GOBIERNO NACIONAL,129252,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA,NULL,CONSORCIO TACNA;CONSULTORES DE INGENIERIA UG21 SOCIEDAD LIMITADA(*),Sin Ejecución
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129257,EJECUCIÓN DE OBRA: INSTALACIÓN DEL PUENTE MODULAR: ACCOLLA; UBICADO EN EL DISTRITO DE SAISA; PROVINCIA DE LUCANAS; REGIÓN AYACUCHO.,CONSORCIO CONSULTING;CONSORCIO JIREH;CONSORCIO PANCHITA;CSB CONSULTING SOCIEDAD ANONIMA(*);EMPRESA CONSTRUCTORA DEL PERU S.A.C.(*);H &amp; M CONTRATISTAS GENERALES S.A.C.(*),NULL,Finalizado
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129392,EJECUCIÓN DE LA OBRA: INSTALACIÓN DEL PUENTE MODULAR: SOLITARIO; UBICADO EN EL DISTRITO DE HUANTAN; PROVINCIA DE YAUYOS; DEPARTAMENTO DE LIMA,CONSORCIO IBERPERU;CONSORCIO PUENTES;CONSORCIO PUENTES MODULARES;CORPORACION CROMOS S.A.C.(*);E&amp;L INVERSIONES GROUP S.A.C.;EDIFICACIONES MONTJOY O.CONTRATISTAS GENERALES SOCIEDAD ANONIMA - EDIMOCG S.A.(*);IBERNOVAS SAC(*),NULL,Finalizado
2487020,AGROPECUARIA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129393,Mejoramiento y ampliacion del servicio de agua para riego del Sistema de Riego Yanapujio-Valle de Tambo en los distritos de Ichuña y Ubinas de la provincia de General Sanchez Cerro del departamento de Moquegua y la provincia de Islay del departamento de Arequipa Codigo Unico de Inversion CUI N 2487020,NULL,CONSORCIO LAS REPRESAS;KAZUKI CONSULTORIA Y CONSTRUCCION S.A.C(*),Sin Ejecución
2487020,AGROPECUARIA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129393,Mejoramiento y ampliacion del servicio de agua para riego del Sistema de Riego Yanapujio-Valle de Tambo en los distritos de Ichuña y Ubinas de la provincia de General Sanchez Cerro del departamento de Moquegua y la provincia de Islay del departamento de Arequipa Codigo Unico de Inversion CUI N 2487020,NULL,CONSORCIO LAS REPRESAS;KAZUKI CONSULTORIA Y CONSTRUCCION S.A.C(*),Sin Ejecución
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129613,EJECUCIÓN DE OBRA: INSTALACIÓN DE PUENTE MODULAR: HUACACHALOQUE; UBICADO EN EL DISTRITO DE SANTA; PROVINCIA DE SANTA; REGIÓN ANCASH,ARA INGENIEROS SAC - ARAISAC;CONCRETTA CONSTRUCTORA E INMOBILIARIA SAC,NULL,Finalizado
2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129614,EJECUCIÓN DE OBRA: INSTALACIÓN DE PUENTE MODULAR: ACOPALLPA; UBICADO EN EL DISTRITO DE MACHAGUAY; PROVINCIA DE CASTILLA; DEPARTAMENTO DE AREQUIPA.,NULL,MARTINEZ QUISPE JULIO VICTOR;ROJAS MAMANI DIONISIO,Finalizado
2173969,TRANSPORTE,ANCASH,GOBIERNO LOCAL,130180,CREACION DE LA VIA DE CIRCUNVALACION DE LA CIUDAD DE CHIMBOTE;  PROVINCIA DEL SANTA; ANCASH; PRIMERA ETAPA CON CODIGO DE INVERSIONES N° 2173969,NULL,CONSORCIO VIAL DEL NORTE;CONSULTORIA Y PROYECTOS JB E.I.R.L.(*),Sin Ejecución
2173969,TRANSPORTE,ANCASH,GOBIERNO LOCAL,130180,CREACION DE LA VIA DE CIRCUNVALACION DE LA CIUDAD DE CHIMBOTE;  PROVINCIA DEL SANTA; ANCASH; PRIMERA ETAPA CON CODIGO DE INVERSIONES N° 2173969,NULL,CONSORCIO VIAL DEL NORTE;CONSULTORIA Y PROYECTOS JB E.I.R.L.(*),Sin Ejecución
