CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,IDENTIFICADOR_OBRA,PROCESO,OBJETO_PROCESO,CODIGO_OBRA,NOMBREOBRA,METODO_CONTRATACION,TIEMPO_ABSOLUCION_CONSULTAS,TIEMPO_PRESENTACION_OFERTAS,CODIGO_RUC,RAZON_SOCIAL,CONVOCATORIA_PROCESO_GANADO,MIEMBROS_DE_COMITE,TotalProcesosParticipantes,CODIGO_CONTRATO,NUMERO_CONTRATO,MONTO_CONTRACTUAL,MONTO_REFERENCIAL,MONTO_OFERTADO_PROMEDIO
2494306,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2494306-2494306-686122-2046729-138963,61,Consultoría de Obra,138963,CONSTRUCCION DE COLECTOR PRIMARIO; EN EL(LA) TRAMO DEL COLECTOR CIRCUNVALACIÓN DESDE LA AV. SANTIAGO DE SURCO CON AV. LOS PROCERES DISTRITO SANTIAGO DE SURCO HASTA LA AV. SANTA ROSA CON AV. SANTA TERESA  DISTRITO DE CHORRILLOS; PROVINCIA LIMA; DEPARTAMENTO LIMA,Concurso Público,0,0,20390756012,SERVICIOS TECNICOS DE INGENIERIA DE CONSULTA-INTGR SUCURSAL DE INTEGRAL S.A.-COLOMBIA,686122," ASENCIO MELGAREJO ARMANDO WALTER, BONILLA CIENFUEGOS MARTHA FORTUNATA, GOMEZ HOSPINA FREDY OSWALDO, HUANCA CUSI JOSE ANTONIO, SANDOBAL  CAMA JUAN TEODORO, VIVAS CENTENO CARLOS AUGUSTO",28,2046729,CONTRATO Nº 0102-2021-SEDAPAL,2240486.64,2489429.59,2240486.64
2495613,TRANSPORTE,CALLAO,GOBIERNO NACIONAL,2495613-2495613-704327-2069511-142811,3,Consultoría de Obra,142811,CREACION DEL ANTEPUERTO DEL CALLAO Y MEJORAMIENTO DE VIAS DE ACCESO AL PUERTO Y ANTEPUERTO CALLAO DEL DISTRITO DE CALLAO - PROVINCIA CONSTITUCIONAL DEL CALLAO - DEPARTAMENTO DE CALLAO,Concurso Público,0,0,20101064191,CESEL S A,704327," ALVAREZ CABRERA MAYRA RAQUEL, CARRION LOZADA ENRIQUE ALBERTO, PEREZ AMASIFUEN CARLOS NILO, POMA OQUENDO EUGENIO EMILIO, RIOS  GONZALES JUAN ELEUTERIO, SALINAS MORALES JIMMY RICHARD",244,2069511,048-2021-MTC/10.02,6143392.84,6825992.04,6143392.84
2496772,ORDEN PÚBLICO Y SEGURIDAD,TUMBES,GOBIERNO NACIONAL,2496772-2496772-701979-2046977-141923,9,Obra,141923,CREACION DE SERVICIO DE PROTECCION FRENTE A INUNDACIONES EN AMBAS MARGENES DEL RIO TUMBES; EN TRAMOS VULNERABLES DESDE LA ESTACION EL TIGRE HASTA LA SALIDA AL MAR; EN LOS DISTRITOS DE PAMPAS DE HOSPITAL; SAN JACINTO; SAN JUAN DE LA VIRGEN; CORRALES Y TUMBES; PROVINCIA DE TUMBES; DEPARTAMENTO DE TUMBES,Convenio,0,0,20425123115,OBRASCON HUARTE LAIN S.A.SUC.DEL PERU,701979,NULL,7,2046977,CONTRATO DE FECHA 15 DE MARZO 2021,342232785,342232785,342232785
2498739,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,2498739-2498739-701912-2046940-141927,8,Obra,141927,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES DEL RÍO CAÑETE ENTRE EL TRAMO DESEMBOCADURA DEL RIO CAÑETE - LOCALIDAD DE PAULLO EN LOS DISTRITOS DE SAN VICENTE DE CAÑETE; NUEVO IMPERIAL Y LUNAHUANA DE LA  PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA - PAQUETE 01,Convenio,0,0,20607671061,CONSORCIO BESALCO STRACON,701912,NULL,3,2046940,CONTRATO DE FECHA 19.03.2021,457940245,457940245,457940245
2499818,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,2499818-2499818-719600-2060109-145004,21,Obra,145004,CREACION DEL SERVICIO DE PROTECCIÓN EN RIBERAS DEL RÍO LACRAMARCA VULNERABLES ANTE PELIGROS DE INUNDACIÓN; EN 58 COMUNIDADES EN LOS DISTRITOS DE MACATE; CACERES DEL PERU Y CHIMBOTE DE LA  PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH,Convenio,0,0,20425123115,OBRASCON HUARTE LAIN S.A.SUC.DEL PERU,719600,NULL,7,2060109,CONTRATO DE FECHA 11-06-2021,377791638.6,377791638.6,377791638.6
2499886,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,2499886-2499886-701912-2046940-141926,8,Obra,141926,CREACION DEL SERVICIO DE PROTECCIÓN EN LAS RIBERAS DEL RÍO HUAURA VULNERABLE ANTE PELIGRO DE INUNDACIONES EN LAS LOCALIDADES DE 5 DISTRITOS DE LA PROVINCIA DE OYON Y 6 DISTRITOS DE LA PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA - PAQUETE 01,Convenio,0,0,20607671061,CONSORCIO BESALCO STRACON,701912,NULL,3,2046940,CONTRATO DE FECHA 19.03.2021,457940245,457940245,457940245
2500094,ORDEN PÚBLICO Y SEGURIDAD,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,2500094-2500094-781513-2101534-157697,1,Obra,157697,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES POR RIO ZAÑA Y AFLUENTES; DISTRITOS DE OYOTÚN; NUEVA ARICA; CAYALTÍ; ZAÑA;LAGUNAS-MOCUPE Y NANCHOC; DE LA PROVINCIA DE CHICLAYO DEL DEPARTAMENTO DE LAMBAYEQUE Y LA PROVINCIA DE SAN MIGUEL DEL DEPARTAMENTO DE CAJAMARCA,Convenio,0,0,20609117657,CONSORCIO ROVELLA-INMAC,781513,NULL,1,2101534,CONTRATO,339198484.2,339198484.2,339198484.2
2501291,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,2501291-2501291-715869-2057425-144753,17,Obra,144753,CREACION DEL SERVICIO DE PROTECCIÓN ANTE PELIGRO DE INUNDACIONES EN AMBAS MARGENES DEL RIO HUARMEY; DESDE EL SECTOR HUAMBA HASTA LA SALIDA AL MAR; EN LOS DISTRITOS DE HUARMEY Y HUAYAN DE LA  PROVINCIA DE HUARMEY - DEPARTAMENTO DE ANCASH,Convenio,0,0,20425123115,OBRASCON HUARTE LAIN S.A.SUC.DEL PERU,715869,NULL,7,2057425,CONTRATO DE FECHA 26-05-2021,759914461.9,759914461.9,759914461.9
2501395,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,2501395-2501395-715869-2057425-144752,17,Obra,144752,CREACION DEL SERVICIO DE PROTECCIÓN ANTE INUNDACIONES EN EL RÍO CASMA; RÍO SECHIN Y RÍO GRANDE EN LOS DISTRITOS DE COMANDANTE NOEL; BUENA VISTA; CASMA Y YAUTAN - 4 DISTRITOS DE LA PROVINCIA DE CASMA - DEPARTAMENTO DE ANCASH - SECHÍN,Convenio,0,0,20425123115,OBRASCON HUARTE LAIN S.A.SUC.DEL PERU,715869,NULL,7,2057425,CONTRATO DE FECHA 26-05-2021,759914461.9,759914461.9,759914461.9
2501633,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2501633-2501633-830937-2142082-161960,2,Consultoría de Obra,161960,AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO PARA LAS NUEVAS HABILITACIONES DEL ESQUEMA SANTA ROSA Y ANCON EN LOS DISTRITOS DE SANTA ROSA Y ANCON DE LA PROVNCIA DE LIMA - DEPARTAMENTO DE LIMA,Adjudicación Simplificada,0,0,20552233787,Consorcio Santa rosa,830937," CARRASCO COAQUIRA JUAN WILFREDO, CASTAÑEDA ALVARADO JORGE ANDREI, DIAZ PONCE ERICK NORBERTO, EUSEBIO ROJAS JOSE DAVID, JARA AGUIRRE MARGARITA ANELGRIDA, LUNAREJO CARRASCO PERCI ADRIAN, REQUEJO ARMAS PERICLES, VICTORIO SANTOS JOHNNY EDWIN",144,2142082,012-2022-VIVIENDA/VMCS/PASLC,6147971.01,6273439.81,6172782.61
2501633,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2501633-2501633-830937-2142082-161960,2,Consultoría de Obra,161960,AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO PARA LAS NUEVAS HABILITACIONES DEL ESQUEMA SANTA ROSA Y ANCON EN LOS DISTRITOS DE SANTA ROSA Y ANCON DE LA PROVNCIA DE LIMA - DEPARTAMENTO DE LIMA,Adjudicación Simplificada,0,0,20600366948,DOHWA ENGINEERING CO. LTD. SUCURSAL DEL PERU(*),830937," CARRASCO COAQUIRA JUAN WILFREDO, CASTAÑEDA ALVARADO JORGE ANDREI, DIAZ PONCE ERICK NORBERTO, EUSEBIO ROJAS JOSE DAVID, JARA AGUIRRE MARGARITA ANELGRIDA, LUNAREJO CARRASCO PERCI ADRIAN, REQUEJO ARMAS PERICLES, VICTORIO SANTOS JOHNNY EDWIN",195,2142082,012-2022-VIVIENDA/VMCS/PASLC,6147971.01,6273439.81,6172782.61
2501633,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,2501633-2501633-830937-2142082-161960,2,Consultoría de Obra,161960,AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO PARA LAS NUEVAS HABILITACIONES DEL ESQUEMA SANTA ROSA Y ANCON EN LOS DISTRITOS DE SANTA ROSA Y ANCON DE LA PROVNCIA DE LIMA - DEPARTAMENTO DE LIMA,Adjudicación Simplificada,0,0,20601253241,Consorcio Santa rosa,830937," CARRASCO COAQUIRA JUAN WILFREDO, CASTAÑEDA ALVARADO JORGE ANDREI, DIAZ PONCE ERICK NORBERTO, EUSEBIO ROJAS JOSE DAVID, JARA AGUIRRE MARGARITA ANELGRIDA, LUNAREJO CARRASCO PERCI ADRIAN, REQUEJO ARMAS PERICLES, VICTORIO SANTOS JOHNNY EDWIN",30,2142082,012-2022-VIVIENDA/VMCS/PASLC,6147971.01,6273439.81,6172782.61
