COD_UNICO,IDENTIFICADOR_OBRA,CODIGO_OBRA,OBRA_RIESGO_DESC,OBRA_RIESGO,NOMBRE_OBRA
2412955,2412955-2412955-649178-2025819-115008,115008,Extremadamente Riesgosa,4,AMPLIACIÓN DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO EN NUEVAS HABILITACIONES PARTES ALTAS DE HUAYCAN II ;SECTORES 150; 151;152;153;154 DISTRITO ATE -PROVINCIA DE LIMA-DEPARTAMENTO DE LIMA.
2414831,2414831-2414831-632129-2007833-119177,119177,Medianamente Riesgosa,2,"CONTRATACION DEL SERVICIO DE CONSULTORIA DE OBRA ELABORACION DEL EXPEDIENTE TECNICO DEL PROYECTO: ""CREACIÓN DEL SERVICIO DE RIEGO EN LOS DISTRITOS DE ACOBAMBA; POMACOCHA Y CAJA DE LA PROVINCIA DE ACOBAMBA; DEPARTAMENTO DE HUANCAVELICA"""
2425240,2425240-2425240-604345-2015515-105653,105653,Medianamente Riesgosa,2,Instalación de Puentes Modulares Zona Norte 1 La Libertad; conformado por el Puente Capulí; Cacique; Chahuin; Chuchalac; El Bosque; El Ingenio; El Molino; La Voladora y San Simón.
2425240,2425240-2425240-643287-2025634-129257,129257,Bajamente Riesgosa,1,EJECUCIÓN DE OBRA: INSTALACIÓN DEL PUENTE MODULAR: ACCOLLA; UBICADO EN EL DISTRITO DE SAISA; PROVINCIA DE LUCANAS; REGIÓN AYACUCHO.
2425240,2425240-2425240-644176-2047150-129392,129392,Bajamente Riesgosa,1,EJECUCIÓN DE LA OBRA: INSTALACIÓN DEL PUENTE MODULAR: SOLITARIO; UBICADO EN EL DISTRITO DE HUANTAN; PROVINCIA DE YAUYOS; DEPARTAMENTO DE LIMA
2425240,2425240-2425240-645876-2010352-129614,129614,Medianamente Riesgosa,2,EJECUCIÓN DE OBRA: INSTALACIÓN DE PUENTE MODULAR: ACOPALLPA; UBICADO EN EL DISTRITO DE MACHAGUAY; PROVINCIA DE CASTILLA; DEPARTAMENTO DE AREQUIPA.
2425240,2425240-2425240-649549-2013506-129613,129613,Bajamente Riesgosa,1,EJECUCIÓN DE OBRA: INSTALACIÓN DE PUENTE MODULAR: HUACACHALOQUE; UBICADO EN EL DISTRITO DE SANTA; PROVINCIA DE SANTA; REGIÓN ANCASH
2425240,2425240-2425240-649683-2019501-130452,130452,Bajamente Riesgosa,1,INSTALACIÓN DEL PUENTE MODULAR COCHAPETI; DISTRITO DE CACERES DEL PERU; PROVINCIA DE SANTA; REGIÓN ANCASH.
2425240,2425240-2425240-652455-2015002-130909,130909,Medianamente Riesgosa,2,INSTALACIÓN DEL PUENTE MODULAR CEMENTERIO; DISTRITO CHIMBOTE PROVINCIA DE SANTA; REGIÓN ANCASH.
2425240,2425240-2425240-653403-2015192-130759,130759,Medianamente Riesgosa,2,INSTALACIÓN DEL PUENTE MODULAR LOS ARABES; DISTRITO Y PROVINCIA DE HUARMEY; REGIÓN ANCASH.
2425240,2425240-2425240-654896-2016762-131498,131498,Bajamente Riesgosa,1,INSTALACIÓN DEL PUENTE MODULAR EL INGENIO;; DISTRITO ANGASMARCA; PROVINCIA DE SANTIAGO DE CHUCO; REGIÓN LA LIBERTAD.
2425240,2425240-2425240-654909-2017911-131543,131543,Medianamente Riesgosa,2,INSTALACIÓN DEL PUENTE MODULAR TAMBO REAL; DISTRITO CHIMBOTE; PROVINCIA DE SANTA; REGIÓN ANCASH.
2425240,2425240-2425240-655293-2022588-131543,131543,Medianamente Riesgosa,2,INSTALACIÓN DEL PUENTE MODULAR TAMBO REAL; DISTRITO CHIMBOTE; PROVINCIA DE SANTA; REGIÓN ANCASH.
2425240,2425240-2425240-655983-2017334-132111,132111,Medianamente Riesgosa,2,INSTALACIÓN DEL PUENTE MODULAR CAPULI; DISTRITO MACHE; PROVINCIA DE LA OTUZCO; REGIÓN LA LIBERTAD.
2425240,2425240-2425240-656768-2020868-130759,130759,Medianamente Riesgosa,2,INSTALACIÓN DEL PUENTE MODULAR LOS ARABES; DISTRITO Y PROVINCIA DE HUARMEY; REGIÓN ANCASH.
2427358,2427358-2427358-881574-2182436-169628,169628,Medianamente Riesgosa,2,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL TAMBOBAMBA; DISTRITO DE TAMBOBAMBA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC
2427358,2427358-2427358-901959-2200762-169628,169628,Medianamente Riesgosa,2,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL TAMBOBAMBA; DISTRITO DE TAMBOBAMBA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC
2428087,2428087-2428087-643231-2018416-129252,129252,Bajamente Riesgosa,1,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA
2428087,2428087-2428087-680915-2032854-129252,129252,Bajamente Riesgosa,1,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA
