COD_UNICO,NOMBRE_INVERSION,MONTO_VIABLE,SECTOR,ETAPA_PROYECTO,PROYECTO_RIESGO,PROYECTO_RIESGO_DESC,GOBIERNO,TotalControlPrevio,TotalControlSimultaneo,TotalControlPosterior,DEPARTAMENTO,PROVINCIA,DISTRITO,ESTADO_PROYECTO,ESTADO_CUBIERTO,PIM,EJECUTADO
2331579,AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DEL DISTRITO DE CHALA; PROVINCIA DE CARAVELI; DEPARTAMENTO DE AREQUIPA,150542161,,Fase Ejecución,1,BAJAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,5325874,40344.12
2432359,MEJORAMIENTO DE LA RUTA PE-34C; TRAMO: DV. CHIGUATA - SANTA LUCIA EN LA PROVINCIA DE AREQUIPA DEL DEPARTAMENTO DE AREQUIPA Y LA PROVINCIA DE LAMPA DEL DEPARTAMENTO DE PUNO,1429009039,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,640000,15690.86
2412703,MEJORAMIENTO DE LOS SERVICIOS DE CONTROL GUBERNAMENTAL PARA UN CONTROL EFECTIVO; PREVENTIVO Y FACILITADOR DE LA GESTIÓN PÚBLICA,333441568,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,1,0,LIMA,LIMA,JESUS MARIA,NO PARALIZADA,CUBIERTO,97775618,22806302.65
2430225,MEJORAMIENTO DE LOS SERVICIOS DE RECAUDACIÓN TRIBUTARIA Y ADUANERA A TRAVÉS DE LA TRANSFORMACIÓN DIGITAL,337286403,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,70649483,18310586.25
2420630,MEJORAMIENTO SERVICIOS PRESTADOS A LOS USUARIOS DEL MINISTERIO DE VIVIENDA CONSTRUCCIÓN Y SANEAMIENTO SAN ISIDRO DEL DISTRITO DE SAN ISIDRO - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA,133568948,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,Fase Ejecución,2,MEDIANAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,LIMA,LIMA,SAN ISIDRO,NO PARALIZADA,NO CUBIERTO,5242476,5057435.3
2496772,CREACION DE SERVICIO DE PROTECCION FRENTE A INUNDACIONES EN AMBAS MARGENES DEL RIO TUMBES; EN TRAMOS VULNERABLES DESDE LA ESTACION EL TIGRE HASTA LA SALIDA AL MAR; EN LOS DISTRITOS DE PAMPAS DE HOSPITAL; SAN JACINTO; SAN JUAN DE LA VIRGEN; CORRALES Y TUMBES; PROVINCIA DE TUMBES; DEPARTAMENTO DE TUMBES,483549970,ORDEN PÚBLICO Y SEGURIDAD,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,1,0,TUMBES,TUMBES,TUMBES,NO PARALIZADA,CUBIERTO,44839504,31832035.52
2470404,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE RIEGO LA GALLEGA - CORRAL DEL MEDIO; EN LOS DISTRITOS DE MORROPON Y BUENOS AIRES DE LA  PROVINCIA DE MORROPON - DEPARTAMENTO DE PIURA,192245419,AGROPECUARIA,Fase Ejecución,2,MEDIANAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,PIURA,MORROPON,MORROPON,NO PARALIZADA,NO CUBIERTO,140000,0
2337745,MEJORAMIENTO DE LA TRANSITABILIDAD EN LA VIA DEPARTAMENTAL; RUTA AR-109 EN LOS DISTRITOS DE MAJES; LLUTA Y HUAMBO DE LA  PROVINCIA DE CAYLLOMA - DEPARTAMENTO DE AREQUIPA,133197879,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,AREQUIPA,CAYLLOMA,MAJES,NO PARALIZADA,NO CUBIERTO,288415,39366.51
2471722,MEJORAMIENTO DEL SERVICIO DE HABITABILIDAD INSTITUCIONAL Y DE VIVIENDAS  EN LAS  UNIDADES ACANTONADAS EN EL FUERTE GRAL DIV RAFAEL HOYOS RUBIO; DEL DISTRITO DE RIMAC - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA,328793056,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,LIMA,LIMA,RIMAC,NO PARALIZADA,NO CUBIERTO,25293371,0
2527468,AMPLIACION DEL CANAL PRINCIPAL NEPEÑA – CASMA/SECHIN DESDE LA PROGRESIVA KM 87+820 – KM 134+260; AMBITO DEL P.E. CHINECAS EN LOS DISTRITOS DE CASMA Y COMANDANTE NOEL DE LA  PROVINCIA DE CASMA - DEPARTAMENTO DE ANCASH,239844129,AGROPECUARIA,Fase Ejecución,2,MEDIANAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,ANCASH,CASMA,COMANDANTE NOEL,NO PARALIZADA,NO CUBIERTO,10000,0
2428356,AMPLIACION DE  LOS SERVICIOS DE ONCOLOGIA Y HEMODIALISIS DEL HOSPITAL REGIONAL DE CAJAMARCA;  DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA,166375100,SALUD,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,CAJAMARCA,CAJAMARCA,CAJAMARCA,NO PARALIZADA,NO CUBIERTO,1438805,5000
2540449,MEJORAMIENTO DEL CANAL DE IRRIGACION  IRCHIM  DESDE EL KM 0+000 AL KM 40+100; ÁMBITO DEL P.E. CHINECAS EN EL  DISTRITO DE CHIMBOTE - PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH,359912381,AGROPECUARIA,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,ANCASH,SANTA,CHIMBOTE,NO PARALIZADA,NO CUBIERTO,68993,0
2384352,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE READAPTACION SOCIAL EN EL ESTABLECIMIENTO PENITENCIARIO DE TRUJILLO VARONES;  DISTRITO DE HUANCHACO - PROVINCIA DE TRUJILLO - DEPARTAMENTO DE LA LIBERTAD,211183227,JUSTICIA,Fase Ejecución,2,MEDIANAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,LA LIBERTAD,TRUJILLO,HUANCHACO,NO PARALIZADA,NO CUBIERTO,10399,0
2531607,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL SAN JUAN DE LURIGANCHO DEL DISTRITO DE SAN JUAN DE LURIGANCHO - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA,620260548,SALUD,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,NO PARALIZADA,NO CUBIERTO,1200000,0
2513626,CREACION DEL PUENTE PICHIS Y ACCESOS;  DISTRITO DE PUERTO BERMUDEZ - PROVINCIA DE OXAPAMPA - DEPARTAMENTO DE PASCO,182322806,TRANSPORTE,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,PASCO,OXAPAMPA,PUERTO BERMUDEZ,NO PARALIZADA,NO CUBIERTO,6005572,5206936.41
2522559,MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE CTI PARA FORTALECER EL SISTEMA NACIONAL DE CIENCIA; TECNOLOGÍA E INNOVACIÓN,462500000,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,67345518,9249390.03
2479971,AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN LOS DISTRITOS DE SOCABAYA; SABANDIA Y CHARACATO DE LA  PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA,113449542,SANEAMIENTO,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO LOCAL,0,2,0,AREQUIPA,AREQUIPA,SOCABAYA,NO PARALIZADA,CUBIERTO,0,6083909.62
2309659,MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LOS SECTORES 273; 277; 278; 279; 280; 394 Y 395  DISTRITO DE VENTANILLA - PROVINCIA DE CALLAO - DEPARTAMENTO DE CALLAO,423870877,SANEAMIENTO,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,CALLAO,PROVINCIA CONSTITUCIONAL DEL CALLAO,VENTANILLA,NO PARALIZADA,NO CUBIERTO,70000,7500
2555903,MEJORAMIENTO DE LA TRANSITABILIDAD VIAL INTERURBANA DE LA CARRETERA DEPARTAMENTAL UC-103 EN EL TRAMO NUEVA REQUENA - SAN JOSÉ EN LOS DISTRITOS DE YARINACOCHA Y NUEVA REQUENA DE LA  PROVINCIA DE CORONEL PORTILLO - DEPARTAMENTO DE UCAYALI,257497584,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,UCAYALI,CORONEL PORTILLO,YARINACOCHA,NO PARALIZADA,NO CUBIERTO,3884363,133097.28
2022937,REHABILITACION Y MEJORAMIENTO DE LA CARRETERA TRUJILLO - SHIRAN - HUAMACHUCO,168202543,TRANSPORTE,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,1850000,220147.1
2042771,REHABILITACION Y MEJORAMIENTO DE LA CARRETERA AYACUCHO - ABANCAY,792355798,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,7000000,4875985.68
2055260,MEJORAMIENTO Y CONSTRUCCION DE LA CARRETERA REPOSO SARAMIRIZA; SECTOR: REPOSO DURAN DEL EJE VIAL N° 4 DE INTERCONEXION VIAL PERU ECUADOR,149391386,TRANSPORTE,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,0,0
2078371,MEJORAMIENTO DE LA CARRETERA SATIPO-MAZAMARI-DV. PANGOA- PUERTO OCOPA,181032763,TRANSPORTE,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,471470,235453.45
2078482,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO E INSTALACION DE PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE LA CIUDAD DE IQUITOS,421092389,SALUD Y SANEAMIENTO,Fase Formulación,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,9494440,0
2114066,MEJORAMIENTO DE LOS SERVICIOS DEL HOSPITAL II-2 TARAPOTO; DISTRITO DE TARAPOTO; PROVINCIA Y REGION SAN MARTIN,149461811,SALUD Y SANEAMIENTO,Fase Formulación,1,BAJAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,50735,0
2114103,REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL SM-102; TRAMO: SAN JOSÉ DE SISA - AGUA BLANCA - SAN PABLO - EMPALME PE-5N (DV. BELLAVISTA); PROVINCIAS EL DORADO Y BELLAVISTA; REGIÓN SAN MARTÍN,164424045,TRABAJO,Fase Formulación,1,BAJAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,554824,0
2131661,CONSTRUCCION Y MEJORAMIENTO DE LA CARRETERA DESVIO VILQUECHICO-COJATA-SINA-YANAHUAYA.,115001206,TRANSPORTE,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,9451301,3918339.63
2160111,MEJORAMIENTO DEL SERVICIO DEPORTIVO EN EL COMPLEJO  CHICAGO DEL BARRIO CHICAGO; DISTRITO DE TRUJILLO; PROVINCIA DE TRUJILLO - LA LIBERTAD,103647866,,Fase Ejecución,1,BAJAMENTE RIESGOSO,GOBIERNO LOCAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,0,0
2161774,IMPLEMENTACION DEL INSTITUTO REGIONAL DE ENFERMEDADES NEOPLASICAS DE LA MACRO REGION DEL CENTRO DEL PERU,206425448,SALUD Y SANEAMIENTO,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,1829599,0
2183907,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL HOSPITAL QUILLABAMBA DISTRITO DE SANTA ANA; PROVINCIA DE LA CONVENCION Y DEPARTAMENTO DE CUSCO,129553367,,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO REGIONAL,0,1,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,CUBIERTO,5430073,3795226.82
2192514,REEMPLAZO DE 12 PUENTES EN LOS CORREDORES VIALES NACIONALES SULLANA - AGUAS VERDES KM. 221+000 - KM. 273+800 Y SULLANA - EL ALAMOR KM. 0+000 - KM. 59+200,132778742,TRABAJO,Fase Ejecución,1,BAJAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,1404872,0
2196555,INSTALACION DEL SERVICIO DE AGUA PARA EL SISTEMA DE RIEGO HUENQUE - ILAVE; EN LOS DISTRITOS DE CONDURIRI E ILAVE; PROVINCIA DE EL COLLAO; REGION PUNO,244616428,ENERGIA Y RECURSOS MINERALES,Fase Ejecución,2,MEDIANAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,400000,143016.8
2196411,MEJ. DE VIAS DEP. AM-100; EMP. AM-101(BAGUA) - LA PECA; AM-102; EMP. AM-101(DV. BAGUA GRANDE) - JOSE OLAYA - EMP. PE-5N (PTO. NARANJITOS); RUTA: AM-105; EMP. PE-5N (DV. S. M. DE PORRAS) - EMP. AM-103(LONYA GRANDE); PROV. BAGUA Y UTCUBAMBA - AMAZONAS,121073949,TRABAJO,Fase Ejecución,1,BAJAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,938188,0
2234985,REHABILITACION Y MEJORAMIENTO DE LA CARRETERA EMP. PE-1N J (DV. HUANCABAMBA) - BUENOS AIRES - SALITRAL - DV. CANCHAQUE - EMP. PE-3N - HUANCABAMBA; TRAMO: KM. 71+600 - HUANCABAMBA,397375465,TRABAJO,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,3778864,1045027.01
2234986,REHABILITACION Y MEJORAMIENTO DE LA CARRETERA EMP. RUTA 18A (PTE. RANCHO) - CHAGLLA - RUMICHACA,625090394,TRANSPORTE,Fase Ejecución,4,EXTREMADAMENTE RIESGOSO,GOBIERNO NACIONAL,0,0,0,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,MULTIDEPARTAMENTAL,NO PARALIZADA,NO CUBIERTO,15192904,10759926.77
2235118,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL CAMPO VERDE - NUEVA REQUENA; DISTRITOS DE CAMPO VERDE Y NUEVA REQUENA; PROVINCIA DE CORONEL PORTILLO; DEPARTAMENTO DE UCAYALI.,117385260,TRANSPORTE,Fase Ejecución,3,ALTAMENTE RIESGOSO,GOBIERNO REGIONAL,0,0,0,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,NO PARALIZADA,NO CUBIERTO,11114196,54237.29
