identificador_obra_key,codigo_unico_key,y_riesgo,CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,f2a3a_n_registros,f2a3a_nunique_MIEMBROS_DE_COMITE,f2b_n_registros,f2b_CODIGO_UNICO_mean,f2b_CODIGO_UNICO_max,f2b_PROCESO_mean,f2b_PROCESO_max,f2b_CONVOCATORIA_mean,f2b_CONVOCATORIA_max,f2b_DNI_MIEMBRO_COMITE_mean,f2b_DNI_MIEMBRO_COMITE_max,f2b_nunique_NOMBRE_MIEMBRO_COMITE,f3b_n_registros,f3b_n_ruc_participantes,f3b_n_ruc_ganadores,f3b_ratio_ganadores_participantes,f3c_n_registros,f3c_n_ofertas_con_monto,f3c_monto_ofertado_min,f3c_monto_ofertado_max,f3c_monto_ofertado_mean,f3c_monto_ofertado_median,f3c_monto_ofertado_std,f3c_rango_monto_ofertado,f5a_n_registros,f5a_ANHO_sum,f5a_MES_mean,f5a_MES_max,f5a_MES_sum,f5a_Planificado_mean,f5a_Planificado_max,f5a_Planificado_sum,f5a_Real_mean,f5a_Real_max,f5a_Real_sum,f5a_nunique_ANHO,f5a_nunique_MES
2425240-2425240-655983-2017334-132111,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,132111,Finalizado,SUPERVISIÓN,0,0,1,0,2.0,1.0,6.0,2425240.0,2425240.0,32.0,32.0,655983.0,655983.0,37147795.5,45437721.0,6.0,12.0,6.0,2.0,0.3333333333333333,12.0,12.0,52669.39,52669.39,52669.38999999999,52669.39,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2425240-2425240-656768-2020868-130759,2425240,1,2425240,TRANSPORTE,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,130759,Sin Ejecución,EJECUCIÓN,46,0,1,0,7.0,1.0,6.0,2425240.0,2425240.0,33.0,33.0,656768.0,656768.0,33009231.833333332,42946686.0,6.0,287.0,41.0,7.0,0.17073170731707318,287.0,287.0,529077.15,916774.12,692389.022195122,825096.79,153259.26165084302,387696.97,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2427358-2427358-881574-2182436-169628,2427358,1,2427358,SALUD,APURIMAC,GOBIERNO NACIONAL,169628,Sin Ejecución,EJECUCIÓN,0,0,0,0,1.0,1.0,11.0,2427358.0,2427358.0,1.0,1.0,881574.0,881574.0,23318009.0,46061892.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,113919115.1,113919115.1,113919115.1,113919115.1,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2427358-2427358-901959-2200762-169628,2427358,1,2427358,SALUD,APURIMAC,GOBIERNO NACIONAL,169628,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2.0,1.0,6.0,2427358.0,2427358.0,3.0,3.0,901959.0,901959.0,27063989.333333332,47579352.0,6.0,22.0,11.0,2.0,0.18181818181818182,22.0,22.0,5728534.32,5728534.32,5728534.32,5728534.32,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2428087-2428087-643231-2018416-129252,2428087,1,2428087,SANEAMIENTO,TACNA,GOBIERNO NACIONAL,129252,Sin Ejecución,SUPERVISIÓN,45,0,1,0,2.0,1.0,6.0,2428087.0,2428087.0,3.0,3.0,643231.0,643231.0,44242906.0,72177320.0,6.0,32.0,16.0,2.0,0.125,32.0,32.0,2338845.03,2338845.03,2338845.03,2338845.03,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2428087-2428087-680915-2032854-129252,2428087,1,2428087,SANEAMIENTO,TACNA,GOBIERNO NACIONAL,129252,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1.0,1.0,6.0,2428087.0,2428087.0,1.0,1.0,680915.0,680915.0,26311819.5,70319598.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,4395588.5,4395588.5,4395588.5,4395588.5,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2428356-2428356-763890-2091852-152016,2428356,1,2428356,SALUD,CAJAMARCA,GOBIERNO REGIONAL,152016,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1.0,1.0,6.0,2428356.0,2428356.0,35.0,35.0,763890.0,763890.0,29895312.0,47405332.0,6.0,7.0,7.0,1.0,0.14285714285714285,7.0,7.0,2793393.47,3064973.38,2832190.6000000006,2793393.47,102647.55756304307,271579.9099999997,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2428356-2428356-767107-2099542-152016,2428356,1,2428356,SALUD,CAJAMARCA,GOBIERNO REGIONAL,152016,Sin Ejecución,SUPERVISIÓN,0,0,0,0,1.0,1.0,6.0,2428356.0,2428356.0,42.0,42.0,767107.0,767107.0,29895312.0,47405332.0,6.0,4.0,4.0,1.0,0.25,4.0,4.0,653894.5,653894.5,653894.5,653894.5,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2446345-2446345-705281-2049567-142821,2446345,0,2446345,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO REGIONAL,142821,En Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,363691781.0,363691781.0,363691781.0,363691781.0,,0.0,7,14161.0,4.0,7.0,28.0,0.9142857142857144,1.0,6.4,0.5700000000000001,0.74,3.99,1,7
2451550-2451550-702502-2059380-127427,2451550,1,2451550,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,127427,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,1.0,1.0,6.0,2451550.0,2451550.0,6.0,6.0,702502.0,702502.0,37404649.0,72541160.0,6.0,10.0,10.0,1.0,0.1,10.0,10.0,7799276.48,7799276.48,7799276.480000001,7799276.48,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2454755-2454755-621993-2003957-116356,2454755,1,2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,116356,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,2.0,1.0,6.0,2454755.0,2454755.0,9.0,9.0,621993.0,621993.0,30059350.166666668,48369654.0,6.0,8.0,4.0,2.0,0.5,8.0,8.0,2500000.0,2518896.96,2509448.48,2509448.48,10100.84999593876,18896.959999999963,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2454755-2454755-837834-2161318-116356,2454755,1,2454755,TRANSPORTE,SAN MARTIN,GOBIERNO LOCAL,116356,Sin Ejecución,SUPERVISIÓN,0,0,1,0,2.0,1.0,6.0,2454755.0,2454755.0,10.0,10.0,837834.0,837834.0,45741334.0,70857177.0,6.0,30.0,15.0,2.0,0.13333333333333333,30.0,30.0,6132787.81,70744000.0,15096342.539333334,6132787.81,22205179.226659432,64611212.19,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2470680-2470680-693030-2055637-138923,2470680,1,2470680,TRANSPORTE,PIURA,GOBIERNO NACIONAL,138923,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,2.0,1.0,6.0,2470680.0,2470680.0,45.0,45.0,693030.0,693030.0,15702275.833333334,40116976.0,6.0,18.0,9.0,2.0,0.2222222222222222,18.0,18.0,6709467.55,6709467.55,6709467.55,6709467.55,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2471722-2471722-818155-2130970-164856,2471722,1,2471722,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,LIMA,GOBIERNO NACIONAL,164856,Sin Ejecución,EXPEDIENTE TÉCNICO,22,0,0,0,2.0,1.0,6.0,2471722.0,2471722.0,4.0,4.0,818155.0,818155.0,39110305.0,71207928.0,6.0,12.0,6.0,2.0,0.3333333333333333,12.0,12.0,359910.0,399900.0,386570.0,399900.0,19689.71489705406,39990.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2471736-2471736-655576-2020834-131605,2471736,1,2471736,AGROPECUARIA,SAN MARTIN,GOBIERNO LOCAL,131605,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,2.0,1.0,6.0,2471736.0,2471736.0,5.0,5.0,655576.0,655576.0,51976239.5,70662545.0,6.0,4.0,2.0,2.0,1.0,4.0,4.0,200000.0,200000.0,200000.0,200000.0,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2472603-2472603-656014-2036906-132120,2472603,1,2472603,TRANSPORTE,PIURA,GOBIERNO NACIONAL,132120,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,1.0,1.0,6.0,2472603.0,2472603.0,22.0,22.0,656014.0,656014.0,37464566.0,72541160.0,6.0,11.0,11.0,1.0,0.09090909090909091,11.0,11.0,5079133.88,5079133.88,5079133.88,5079133.88,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2473375-2473375-769507-2097720-153456,2473375,0,2473375,TRANSPORTE,CALLAO,GOBIERNO NACIONAL,153456,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,3.0,1.0,3.0,2473375.0,2473375.0,2.0,2.0,769507.0,769507.0,16595573.666666666,25742840.0,3.0,9.0,3.0,3.0,1.0,9.0,9.0,5446107.27,5446107.27,5446107.27,5446107.27,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2479971-2479971-820095-2143955-165523,2479971,0,2479971,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,165523,Sin Ejecución,SUPERVISIÓN,0,0,1,0,1.0,1.0,6.0,2479971.0,2479971.0,8.0,8.0,820095.0,820095.0,39816873.333333336,70174877.0,6.0,3.0,3.0,1.0,0.3333333333333333,3.0,3.0,2753118.35,3059005.69,2957043.2433333336,3059005.69,176604.1380906985,305887.33999999985,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2479971-2479971-892317-2186347-163741,2479971,1,2479971,SANEAMIENTO,AREQUIPA,GOBIERNO LOCAL,163741,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,2.0,1.0,6.0,2479971.0,2479971.0,14.0,14.0,892317.0,892317.0,39995242.833333336,71215094.0,6.0,26.0,13.0,2.0,0.15384615384615385,26.0,26.0,71732289.99,83367320.19,78662471.91923076,79401275.74,3442454.5585812503,11635030.200000003,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2487020-2487020-702640-2062038-129393,2487020,1,2487020,AGROPECUARIA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129393,Sin Ejecución,SUPERVISIÓN,0,0,1,0,2.0,1.0,6.0,2487020.0,2487020.0,2.0,2.0,702640.0,702640.0,25862311.5,45228333.0,6.0,10.0,5.0,2.0,0.4,10.0,10.0,3207463.3,3207463.3,3207463.3,3207463.3,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2487020-2487020-707056-2061035-129393,2487020,1,2487020,AGROPECUARIA,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,129393,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,1,0,1.0,1.0,6.0,2487020.0,2487020.0,1.0,1.0,707056.0,707056.0,20445336.666666668,42310611.0,6.0,9.0,9.0,1.0,0.1111111111111111,9.0,9.0,9543356.85,9543356.85,9543356.85,9543356.85,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2489058-2489058-891853-2187416-500659,2489058,1,2489058,TRANSPORTE,LORETO,GOBIERNO REGIONAL,500659,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,5.0,1.0,6.0,2489058.0,2489058.0,1.0,1.0,891853.0,891853.0,28946625.0,72816214.0,6.0,45.0,9.0,5.0,0.5555555555555556,45.0,45.0,6991650.0,8250147.0,7702883.0,7768500.0,430653.25793391006,1258497.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2489058-2489058-894077-2187247-500659,2489058,0,2489058,TRANSPORTE,LORETO,GOBIERNO REGIONAL,500659,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2.0,1.0,6.0,2489058.0,2489058.0,2.0,2.0,894077.0,894077.0,28946625.0,72816214.0,6.0,4.0,2.0,2.0,1.0,4.0,4.0,720000.0,720000.0,720000.0,720000.0,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2493096-2493096-652517-2033185-130851,2493096,1,2493096,TRANSPORTE,ANCASH,GOBIERNO LOCAL,130851,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,2.0,1.0,6.0,2493096.0,2493096.0,11.0,11.0,652517.0,652517.0,38889617.5,70013911.0,6.0,6.0,3.0,2.0,0.6666666666666666,6.0,6.0,359955.0,399950.0,386618.3333333333,399950.0,20653.32919087541,39995.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2494144-2494144-792971-2132605-158003,2494144,1,2494144,EDUCACIÓN,JUNIN,GOBIERNO REGIONAL,158003,En Ejecución,EJECUCIÓN,0,0,1,0,1.0,1.0,6.0,2494144.0,2494144.0,6.0,6.0,792971.0,792971.0,44152067.0,47495808.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,187075509.0,187075509.0,187075509.0,187075509.0,,0.0,5,10115.0,3.4,6.0,17.0,0.048,0.08,0.24,0.052000000000000005,0.09,0.26,1,5
2494144-2494144-862805-2165816-158003,2494144,1,2494144,EDUCACIÓN,JUNIN,GOBIERNO REGIONAL,158003,En Ejecución,SUPERVISIÓN,0,0,1,0,1.0,1.0,6.0,2494144.0,2494144.0,59.0,59.0,862805.0,862805.0,44113280.0,48279383.0,6.0,6.0,6.0,1.0,0.16666666666666666,6.0,6.0,0.0,3634322.04,2422881.36,3634322.04,1876755.8314232756,3634322.04,5,10115.0,3.4,6.0,17.0,0.048,0.08,0.24,0.052000000000000005,0.09,0.26,1,5
2494306-2494306-686122-2046729-138963,2494306,1,2494306,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,138963,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,1.0,6.0,2494306.0,2494306.0,61.0,61.0,686122.0,686122.0,28593141.666666668,45563794.0,6.0,8.0,8.0,1.0,0.125,8.0,8.0,2240486.64,2240486.64,2240486.64,2240486.64,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2495613-2495613-704327-2069511-142811,2495613,1,2495613,TRANSPORTE,CALLAO,GOBIERNO NACIONAL,142811,Sin Ejecución,SUPERVISIÓN,0,0,1,0,1.0,1.0,6.0,2495613.0,2495613.0,3.0,3.0,704327.0,704327.0,8863133.666666666,15865397.0,6.0,5.0,5.0,1.0,0.2,5.0,5.0,6143392.84,6143392.84,6143392.84,6143392.84,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2496772-2496772-701979-2046977-141923,2496772,1,2496772,ORDEN PÚBLICO Y SEGURIDAD,TUMBES,GOBIERNO NACIONAL,141923,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,342232785.0,342232785.0,342232785.0,342232785.0,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2498739-2498739-701912-2046940-141927,2498739,1,2498739,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,141927,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,457940245.0,457940245.0,457940245.0,457940245.0,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2499818-2499818-719600-2060109-145004,2499818,1,2499818,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,145004,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,377791638.6,377791638.6,377791638.6,377791638.6,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2499886-2499886-701912-2046940-141926,2499886,1,2499886,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,141926,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,1,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,457940245.0,457940245.0,457940245.0,457940245.0,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2500094-2500094-781513-2101534-157697,2500094,0,2500094,ORDEN PÚBLICO Y SEGURIDAD,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,157697,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,339198484.2,339198484.2,339198484.2,339198484.2,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2501291-2501291-715869-2057425-144753,2501291,1,2501291,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,144753,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,759914461.9,759914461.9,759914461.9,759914461.9,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2501395-2501395-715869-2057425-144752,2501395,1,2501395,ORDEN PÚBLICO Y SEGURIDAD,ANCASH,GOBIERNO NACIONAL,144752,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,759914461.9,759914461.9,759914461.9,759914461.9,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2501633-2501633-830937-2142082-161960,2501633,1,2501633,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,161960,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,3.0,1.0,8.0,2501633.0,2501633.0,2.0,2.0,830937.0,830937.0,29658309.75,80508996.0,8.0,15.0,5.0,3.0,0.6,15.0,15.0,6147971.01,6210000.0,6172782.606000001,6147971.01,31454.438889007783,62028.99000000022,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2501633-2501633-831096-2149812-167630,2501633,1,2501633,SANEAMIENTO,LIMA,GOBIERNO NACIONAL,167630,Sin Ejecución,SUPERVISIÓN,0,0,1,0,1.0,1.0,6.0,2501633.0,2501633.0,14.0,14.0,831096.0,831096.0,21188831.333333332,40292978.0,6.0,6.0,6.0,1.0,0.16666666666666666,6.0,6.0,1483444.72,1483444.72,1483444.72,1483444.72,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2501657-2501657-719510-2060104-145483,2501657,1,2501657,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO NACIONAL,145483,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,530418635.6,530418635.6,530418635.6,530418635.6,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2501721-2501721-719510-2060104-145484,2501721,1,2501721,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO NACIONAL,145484,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,530418635.6,530418635.6,530418635.6,530418635.6,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2501802-2501802-719510-2060104-145481,2501802,1,2501802,ORDEN PÚBLICO Y SEGURIDAD,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,145481,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,530418635.6,530418635.6,530418635.6,530418635.6,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2502679-2502679-750568-2089687-152012,2502679,1,2502679,SALUD,CAJAMARCA,GOBIERNO NACIONAL,152012,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1.0,1.0,6.0,2502679.0,2502679.0,34.0,34.0,750568.0,750568.0,29930330.5,47405332.0,6.0,7.0,7.0,1.0,0.14285714285714285,7.0,7.0,2720840.29,2720840.29,2720840.29,2720840.29,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2502679-2502679-767031-2107161-152012,2502679,1,2502679,SALUD,CAJAMARCA,GOBIERNO NACIONAL,152012,Sin Ejecución,SUPERVISIÓN,0,0,0,0,1.0,1.0,6.0,2502679.0,2502679.0,41.0,41.0,767031.0,767031.0,29930330.5,47405332.0,6.0,5.0,5.0,1.0,0.2,5.0,5.0,672498.02,672498.02,672498.02,672498.02,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2502822-2502822-749611-2090784-148627,2502822,1,2502822,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,148627,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1.0,1.0,6.0,2502822.0,2502822.0,29.0,29.0,749611.0,749611.0,33442415.833333332,46989137.0,6.0,5.0,5.0,1.0,0.2,5.0,5.0,688080.0,750000.0,715754.6640000001,726306.66,27051.831416498968,61920.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2502822-2502822-782486-2112848-148627,2502822,1,2502822,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,148627,Sin Ejecución,SUPERVISIÓN,0,0,0,0,2.0,1.0,6.0,2502822.0,2502822.0,3.0,3.0,782486.0,782486.0,26792825.333333332,41168140.0,6.0,6.0,3.0,2.0,0.6666666666666666,6.0,6.0,112919.4,122000.0,118973.13333333335,122000.0,4689.201676476146,9080.600000000006,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2503297-2503297-705281-2049567-142822,2503297,1,2503297,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO REGIONAL,142822,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,363691781.0,363691781.0,363691781.0,363691781.0,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2506092-2506092-933575-2201164-505383,2506092,0,2506092,ORDEN PÚBLICO Y SEGURIDAD,LIMA,GOBIERNO NACIONAL,505383,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,1.0,0.0,,,,,,,,,,,2.0,2.0,1.0,0.5,2.0,2.0,10562146.54,10562146.54,10562146.54,10562146.54,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2506324-2506324-781513-2101534-157698,2506324,0,2506324,ORDEN PÚBLICO Y SEGURIDAD,MULTIDEPARTAMENTAL,GOBIERNO NACIONAL,157698,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,339198484.2,339198484.2,339198484.2,339198484.2,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2508148-2508148-718827-2059561-145003,2508148,1,2508148,ORDEN PÚBLICO Y SEGURIDAD,LA LIBERTAD,GOBIERNO REGIONAL,145003,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,1,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,473255028.7,473255028.7,473255028.7,473255028.7,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2509330-2509330-835772-2149848-168500,2509330,1,2509330,AGROPECUARIA,TACNA,GOBIERNO LOCAL,168500,Sin Ejecución,SUPERVISIÓN,0,0,0,0,3.0,1.0,6.0,2509330.0,2509330.0,6.0,6.0,835772.0,835772.0,19783965.833333332,41841576.0,6.0,24.0,8.0,3.0,0.375,24.0,24.0,486000.0,594000.0,499500.0,486000.0,36485.85193337752,108000.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2510582-2510582-794558-2121907-142752,2510582,1,2510582,TRANSPORTE,PIURA,GOBIERNO REGIONAL,142752,Sin Ejecución,EXPEDIENTE TÉCNICO,89,0,0,0,1.0,1.0,6.0,2510582.0,2510582.0,3.0,3.0,794558.0,794558.0,29078675.0,45538661.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,971960.0,971960.0,971960.0,971960.0,,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2510582-2510582-795515-2115293-142752,2510582,1,2510582,TRANSPORTE,PIURA,GOBIERNO REGIONAL,142752,Sin Ejecución,SUPERVISIÓN,120,0,0,0,2.0,1.0,6.0,2510582.0,2510582.0,6.0,6.0,795515.0,795515.0,29078675.0,45538661.0,6.0,4.0,2.0,2.0,1.0,4.0,4.0,129746.0,129746.0,129746.0,129746.0,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2511978-2511978-715875-2057224-141280,2511978,0,2511978,SALUD,ANCASH,GOBIERNO NACIONAL,141280,En Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,1.0,0.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,216954655.8,216954655.8,216954655.8,216954655.8,,0.0,7,14161.0,4.0,7.0,28.0,1.0,1.0,7.0,0.5785714285714285,0.62,4.05,1,7
2512108-2512108-719115-2070204-142870,2512108,1,2512108,EDUCACIÓN,AREQUIPA,GOBIERNO LOCAL,142870,Sin Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,2.0,1.0,6.0,2512108.0,2512108.0,5.0,5.0,719115.0,719115.0,40386560.166666664,70586866.0,6.0,10.0,5.0,2.0,0.4,10.0,10.0,247500.0,247500.0,247500.0,247500.0,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2524692-2524692-838734-2137079-168881,2524692,0,2524692,ORDEN PÚBLICO Y SEGURIDAD,ICA,GOBIERNO REGIONAL,168881,Sin Ejecución,ETAPA NO IDENTIFICADA,0,0,0,0,2.0,0.0,,,,,,,,,,,4.0,2.0,2.0,1.0,4.0,4.0,171411921.8,171411921.8,171411921.8,171411921.8,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
