identificador_obra_key,codigo_unico_key,y_riesgo,CODIGO_UNICO,SECTOR,DEPARTAMENTO,NIVEL_GOBIERNO,CODIGO_OBRA,ESTADO_OBRA,ETAPA,DIAS_PLAZO,TOTAL_CONTROL_PREVIO,TOTAL_CONTROL_SIMULTANEO,TOTAL_CONTROL_POSTERIOR,f2a3a_n_registros,f2a3a_nunique_MIEMBROS_DE_COMITE,f2b_n_registros,f2b_CODIGO_UNICO_mean,f2b_CODIGO_UNICO_max,f2b_PROCESO_mean,f2b_PROCESO_max,f2b_CONVOCATORIA_mean,f2b_CONVOCATORIA_max,f2b_DNI_MIEMBRO_COMITE_mean,f2b_DNI_MIEMBRO_COMITE_max,f2b_nunique_NOMBRE_MIEMBRO_COMITE,f3b_n_registros,f3b_n_ruc_participantes,f3b_n_ruc_ganadores,f3b_ratio_ganadores_participantes,f3c_n_registros,f3c_n_ofertas_con_monto,f3c_monto_ofertado_min,f3c_monto_ofertado_max,f3c_monto_ofertado_mean,f3c_monto_ofertado_median,f3c_monto_ofertado_std,f3c_rango_monto_ofertado,f5a_n_registros,f5a_ANHO_sum,f5a_MES_mean,f5a_MES_max,f5a_MES_sum,f5a_Planificado_mean,f5a_Planificado_max,f5a_Planificado_sum,f5a_Real_mean,f5a_Real_max,f5a_Real_sum,f5a_nunique_ANHO,f5a_nunique_MES
2386120-2386120-636909-2009130-126276,2386120,1,2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,126276,En Ejecución,SUPERVISIÓN,0,0,1,0,2.0,1.0,6.0,2386120.0,2386120.0,78.0,78.0,636909.0,636909.0,39956921.5,80052264.0,6.0,6.0,3.0,2.0,0.6666666666666666,6.0,6.0,315148.5,315148.5,315148.5,315148.5,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2386120-2386120-842485-2163769-126277,2386120,1,2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,126277,Inactivo,SUPERVISIÓN,0,0,0,0,2.0,1.0,6.0,2386120.0,2386120.0,13.0,13.0,842485.0,842485.0,33470463.833333332,44677921.0,6.0,36.0,18.0,2.0,0.1111111111111111,36.0,36.0,6204455.21,6204455.21,6204455.21,6204455.21,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2386120-2386120-853767-2163761-126276,2386120,1,2386120,TRANSPORTE,AYACUCHO,GOBIERNO REGIONAL,126276,En Ejecución,EJECUCIÓN,0,0,1,0,2.0,1.0,6.0,2386120.0,2386120.0,179.0,179.0,853767.0,853767.0,30727875.833333332,42702920.0,6.0,22.0,11.0,2.0,0.18181818181818182,22.0,22.0,187426981.2,208252201.3,191213384.85454544,187426981.2,8221193.317623158,20825220.100000024,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2387810-2387810-582351-2173525-115304,2387810,0,2387810,SANEAMIENTO,ANCASH,GOBIERNO NACIONAL,115304,En Ejecución,EXPEDIENTE TÉCNICO,0,0,0,0,,,6.0,2387810.0,2387810.0,1.0,1.0,582351.0,582351.0,11641159.5,40834231.0,6.0,,,,,,,,,,,,,9,18207.0,4.444444444444445,8.0,40.0,1.0,1.0,9.0,0.8,0.93,7.2,1,8
2392641-2392641-631923-2003510-114078,2392641,1,2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,114078,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,2.0,1.0,6.0,2392641.0,2392641.0,15.0,15.0,631923.0,631923.0,43085633.166666664,72541160.0,6.0,24.0,12.0,2.0,0.16666666666666666,24.0,24.0,6207556.56,6207556.56,6207556.56,6207556.56,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2392641-2392641-866186-2174904-114078,2392641,1,2392641,TRANSPORTE,HUANCAVELICA,GOBIERNO NACIONAL,114078,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,4.0,1.0,6.0,2392641.0,2392641.0,28.0,28.0,866186.0,866186.0,21972993.166666668,45912293.0,6.0,40.0,10.0,4.0,0.4,40.0,40.0,8061204.63,8061204.63,8061204.63,8061204.63,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2392977-2392977-638751-2043011-127708,2392977,1,2392977,TRANSPORTE,MOQUEGUA,GOBIERNO NACIONAL,127708,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,0,0,1.0,1.0,6.0,2392977.0,2392977.0,13.0,13.0,638751.0,638751.0,28377684.5,45771975.0,6.0,21.0,21.0,1.0,0.047619047619047616,21.0,21.0,3497714.54,3497714.54,3497714.54,3497714.54,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2393340-2393340-631196-2007473-126280,2393340,1,2393340,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,126280,Sin Ejecución,EXPEDIENTE TÉCNICO,30,0,0,0,2.0,1.0,6.0,2393340.0,2393340.0,1.0,1.0,631196.0,631196.0,27134770.5,43295863.0,6.0,8.0,4.0,2.0,0.5,8.0,8.0,657000.0,715000.0,682250.0,678500.0,27582.344249278638,58000.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2393340-2393340-657616-2023296-126280,2393340,1,2393340,TRANSPORTE,CUSCO,GOBIERNO REGIONAL,126280,Sin Ejecución,SUPERVISIÓN,0,0,0,0,1.0,1.0,6.0,2393340.0,2393340.0,25.0,25.0,657616.0,657616.0,26950762.166666668,42301017.0,6.0,4.0,4.0,1.0,0.25,4.0,4.0,108000.0,117600.0,110400.0,108000.0,4800.0,9600.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2393366-2393366-660818-2039877-133911,2393366,1,2393366,TRANSPORTE,ICA,GOBIERNO NACIONAL,133911,Sin Ejecución,ESTUDIO DEFINITIVO,0,0,1,0,1.0,1.0,6.0,2393366.0,2393366.0,28.0,28.0,660818.0,660818.0,32886872.333333332,46550019.0,6.0,18.0,18.0,1.0,0.05555555555555555,18.0,18.0,3839065.68,3839065.68,3839065.6800000006,3839065.68,0.0,0.0,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
