CODIGO_RUC,NOMBRE_EMPRESA_ROL,RUC_CONTRAPARTE,NOMBRE_CONTRAPARTE,rol_empresa,n_obras_asociadas_1a,n_registros_1a,es_consorcio,capacidad_maxima_contratacion,capacidad_libre_contratacion,estado_empresa,condicion_empresa,n_obras_representante,n_representantes_legales,representante_legal_principal,NOMBRE_EMPRESA,y_riesgo_empresa_4niveles,n_vinculos_total,n_contrapartes_unicas,n_veces_ganador,n_veces_participante,ratio_ganador,ratio_participante,n_registros_hora_oferta,n_horas_oferta_distintas,hora_oferta_moda
20602371442,CONSORCIO VIAL VES,20254813720,CHAVIN DE HUANTAR E.I.R.L(*),ganador,7.0,7.0,1.0,22764038584.0,21563612546.0,ACTIVO,HABIDO,2.0,3.0,TRUJILLO LUNA EMILIANO ISAAC,CONSORCIO VIAL VES,2,42.0,23.0,15.0,27.0,0.35714285714285715,0.6428571428571429,0.0,0.0,
20254813720,CHAVIN DE HUANTAR E.I.R.L(*),20602371442,CONSORCIO VIAL VES,ganador,1.0,1.0,1.0,672189548.3,444155082.6,ACTIVO,HABIDO,1.0,1.0,TRUJILLO LUNA EMILIANO ISAAC,CHAVIN DE HUANTAR E.I.R.L(*),2,12.0,9.0,2.0,10.0,0.16666666666666666,0.8333333333333334,0.0,0.0,
20602371442,CONSORCIO VIAL VES,20602371442,CONSORCIO VIAL VES,ganador,7.0,7.0,1.0,22764038584.0,21563612546.0,ACTIVO,HABIDO,2.0,3.0,TRUJILLO LUNA EMILIANO ISAAC,CONSORCIO VIAL VES,2,42.0,23.0,15.0,27.0,0.35714285714285715,0.6428571428571429,0.0,0.0,
10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),10024274018,ALARCON ARAGON BENJAMIN JAVIER,ganador,3.0,3.0,1.0,,0.0,ACTIVO,HABIDO,1.0,3.0,DUEÑAS BRAVO DAVID ROY,RODRIGUEZ PAJARES WILLIAM FREDY(*),0,28.0,16.0,17.0,11.0,0.6071428571428571,0.39285714285714285,1.0,1.0,9:00
10267226933,SUPERVISOR SAYTOCOHA,10024274018,ALARCON ARAGON BENJAMIN JAVIER,ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,11.0,8.0,4.0,7.0,0.36363636363636365,0.6363636363636364,1.0,1.0,9:00
10434381288,SUPERVISOR SAYTOCOHA,10024274018,ALARCON ARAGON BENJAMIN JAVIER,ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,7.0,4.0,4.0,3.0,0.5714285714285714,0.42857142857142855,1.0,1.0,9:00
10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),ganador,3.0,3.0,1.0,,0.0,ACTIVO,HABIDO,1.0,3.0,DUEÑAS BRAVO DAVID ROY,RODRIGUEZ PAJARES WILLIAM FREDY(*),0,28.0,16.0,17.0,11.0,0.6071428571428571,0.39285714285714285,1.0,1.0,9:00
10267226933,SUPERVISOR SAYTOCOHA,10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,11.0,8.0,4.0,7.0,0.36363636363636365,0.6363636363636364,1.0,1.0,9:00
10434381288,SUPERVISOR SAYTOCOHA,10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,7.0,4.0,4.0,3.0,0.5714285714285714,0.42857142857142855,1.0,1.0,9:00
10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),10267226933,SUPERVISOR SAYTOCOHA,ganador,3.0,3.0,1.0,,0.0,ACTIVO,HABIDO,1.0,3.0,DUEÑAS BRAVO DAVID ROY,RODRIGUEZ PAJARES WILLIAM FREDY(*),0,28.0,16.0,17.0,11.0,0.6071428571428571,0.39285714285714285,1.0,1.0,9:00
10267226933,SUPERVISOR SAYTOCOHA,10267226933,SUPERVISOR SAYTOCOHA,ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,11.0,8.0,4.0,7.0,0.36363636363636365,0.6363636363636364,1.0,1.0,9:00
10434381288,SUPERVISOR SAYTOCOHA,10267226933,SUPERVISOR SAYTOCOHA,ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,7.0,4.0,4.0,3.0,0.5714285714285714,0.42857142857142855,1.0,1.0,9:00
10267161823,RODRIGUEZ PAJARES WILLIAM FREDY(*),10434381288,SUPERVISOR SAYTOCOHA,ganador,3.0,3.0,1.0,,0.0,ACTIVO,HABIDO,1.0,3.0,DUEÑAS BRAVO DAVID ROY,RODRIGUEZ PAJARES WILLIAM FREDY(*),0,28.0,16.0,17.0,11.0,0.6071428571428571,0.39285714285714285,1.0,1.0,9:00
10267226933,SUPERVISOR SAYTOCOHA,10434381288,SUPERVISOR SAYTOCOHA,ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,11.0,8.0,4.0,7.0,0.36363636363636365,0.6363636363636364,1.0,1.0,9:00
10434381288,SUPERVISOR SAYTOCOHA,10434381288,SUPERVISOR SAYTOCOHA,ganador,1.0,1.0,1.0,,0.0,ACTIVO,HABIDO,,,,SUPERVISOR SAYTOCOHA,0,7.0,4.0,4.0,3.0,0.5714285714285714,0.42857142857142855,1.0,1.0,9:00
20538025918,ASISTENCIA TECNICA Y JURIDICA CONSULTORES SL,20538025918,ASISTENCIA TECNICA Y JURIDICA CONSULTORES SL,ganador,2.0,2.0,1.0,,0.0,ACTIVO,HABIDO,1.0,4.0,PACCHA HUAMANI PABLO ROBERTO,ASISTENCIA TECNICA Y JURIDICA CONSULTORES SL,3,20.0,15.0,8.0,12.0,0.4,0.6,1.0,1.0,8:00
20460678600,CONSORCIO PUENTE HUALLAGA I,20100995108,CONSTRUCTORA M P M S A(*),ganador,1.0,1.0,1.0,4855267352.0,4855267352.0,ACTIVO,HABIDO,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,2,23.0,18.0,16.0,7.0,0.6956521739130435,0.30434782608695654,1.0,1.0,10:00
20544952693,CONSORCIO PUENTE HUALLAGA I,20100995108,CONSTRUCTORA M P M S A(*),ganador,1.0,1.0,1.0,867507923.1,867507923.1,ACTIVO,HABIDO,1.0,5.0,POW SANG TEJADA HUGO JOSUE,CONSORCIO PUENTE HUALLAGA I,2,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00
20545564891,CONSORCIO PUENTE HUALLAGA I,20100995108,CONSTRUCTORA M P M S A(*),ganador,1.0,1.0,1.0,356569741.9,356569741.9,ACTIVO,HABIDO,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,2,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00
20556295281,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),20100995108,CONSTRUCTORA M P M S A(*),ganador,1.0,1.0,1.0,597629186.9,597629186.9,ACTIVO,HABIDO,1.0,5.0,POW SANG TEJADA HUGO JOSUE,TABLEROS Y PUENTES S.A. SUCURSAL DEL PERU(*),0,25.0,20.0,16.0,9.0,0.64,0.36,1.0,1.0,10:00
20460678600,CONSORCIO PUENTE HUALLAGA I,20101029442,CONSORCIO PUENTES CARRETEROS,ganador,1.0,1.0,1.0,4855267352.0,4855267352.0,ACTIVO,HABIDO,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,2,23.0,18.0,16.0,7.0,0.6956521739130435,0.30434782608695654,1.0,1.0,10:00
20544952693,CONSORCIO PUENTE HUALLAGA I,20101029442,CONSORCIO PUENTES CARRETEROS,ganador,1.0,1.0,1.0,867507923.1,867507923.1,ACTIVO,HABIDO,1.0,5.0,POW SANG TEJADA HUGO JOSUE,CONSORCIO PUENTE HUALLAGA I,2,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00
20545564891,CONSORCIO PUENTE HUALLAGA I,20101029442,CONSORCIO PUENTES CARRETEROS,ganador,1.0,1.0,1.0,356569741.9,356569741.9,ACTIVO,HABIDO,1.0,5.0,PASAPERA ADRIANZEN LUIS CARLOS ELIAS,CONSORCIO PUENTE HUALLAGA I,2,20.0,16.0,16.0,4.0,0.8,0.2,1.0,1.0,10:00
